Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/16/1978,Arizona State,34,Rutgers,18,-11.0,Garden State Bowl
12/16/1978,East Carolina,35,Louisiana Tech,13, ,Independence Bowl
12/20/1978,Iowa State,12,Texas A+M,28,6.5,Hall of Fame Bowl
12/22/1978,Brigham Young,16,Navy,23,5.5,Holiday Bowl
12/23/1978,Louisiana State,15,Missouri,20,7.0,Liberty Bowl
12/23/1978,Maryland,0,Texas,42,6.5,Sun Bowl
12/23/1978,No Carolina State,30,Pittsburgh,17,5.5,Tangerine Bowl
12/25/1978,Arkansas,10,U.C.L.A.,10,-7.5,Fiesta Bowl
12/25/1978,Purdue,41,Georgia Tech,21,-6.0,Peach Bowl
12/29/1978,Clemson,17,Ohio State,15,-2.0,Gator Bowl
12/31/1978,Georgia,22,Stanford,25,7.5,Bluebonnet Bowl
01/01/1979,Alabama,14,Penn State,7,-1.0,Sugar Bowl
01/01/1979,Houston,34,Notre Dame,35,3.5,Cotton Bowl
01/01/1979,Michigan,10,Southern Cal,17,5.5,Rose Bowl
01/01/1979,Nebraska,24,Oklahoma,31,11.0,Orange Bowl
