Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/09/1989,Ball State,6,Fresno State,27, ,California Bowl
12/16/1989,Oregon,27,Tulsa,24,-14.5,Independence Bowl
12/25/1989,Michigan State,33,Hawaii,13,-7.0,Aloha Bowl
12/28/1989,Air Force,29,Mississippi,42,-3.0,Liberty Bowl
12/28/1989,Duke,21,Texas Tech,49,-3.0,All-American Bowl
12/29/1989,Brigham Young,39,Penn State,50,2.5,Holiday Bowl
12/30/1989,Clemson,27,West Virginia,7,-7.0,Gator Bowl
12/30/1989,Florida,7,Washington,34,3.0,Freedom Bowl
12/30/1989,Georgia,18,Syracuse,19,-2.0,Peach Bowl
12/30/1989,Pittsburgh,31,Texas A+M,28,6.0,Sun Bowl
12/31/1989,No Carolina State,10,Arizona,17,6.5,Copper Bowl
01/01/1990,Alabama,25,Miami-Florida,33,9.0,Sugar Bowl
01/01/1990,Arkansas,27,Tennessee,31,-2.0,Cotton Bowl
01/01/1990,Auburn,31,Ohio State,14,-8.0,Hall of Fame Bowl
01/01/1990,Colorado,6,Notre Dame,21,2.0,Orange Bowl
01/01/1990,Florida State,41,Nebraska,17,-3.5,Fiesta Bowl
01/01/1990,Illinois,31,Virginia,21,-3.0,Citrus Bowl
01/01/1990,Michigan,10,Southern Cal,17,1.5,Rose Bowl
