Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/14/1985,Bowling Green,7,Fresno State,51,-1.5,California Bowl
12/21/1985,Clemson,13,Minnesota,20,-4.0,Independence Bowl
12/21/1985,Maryland,35,Syracuse,18,-7.5,Cherry Bowl
12/22/1985,Arizona State,17,Arkansas,18,1.5,Holiday Bowl
12/27/1985,Baylor,21,Louisiana State,7,0.0,Liberty Bowl
12/28/1985,Alabama,24,Southern Cal,3,-5.5,Aloha Bowl
12/28/1985,Arizona,13,Georgia,13,5.5,Sun Bowl
12/28/1985,Brigham Young,7,Ohio State,10,-1.0,Citrus Bowl
12/30/1985,Colorado,17,Washington,20,4.0,Freedom Bowl
12/30/1985,Florida State,34,Oklahoma State,23,-7.0,Gator Bowl
12/31/1985,Air Force,24,Texas,16,-6.0,Bluebonnet Bowl
12/31/1985,Army,31,Illinois,29,6.5,Peach Bowl
12/31/1985,Georgia Tech,17,Michigan State,14,-1.0,Hall of Fame Bowl
01/01/1986,Auburn,16,Texas A+M,36,-2.0,Cotton Bowl
01/01/1986,Iowa,28,U.C.L.A.,45,-3.0,Rose Bowl
01/01/1986,Miami-Florida,7,Tennessee,35,-8.0,Sugar Bowl
01/01/1986,Michigan,27,Nebraska,23,-3.0,Fiesta Bowl
01/01/1986,Oklahoma,25,Penn State,10,-7.5,Orange Bowl
