Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/25/1992,Brigham Young,20,Kansas,23,-2.0,Aloha Bowl
12/29/1992,Fresno State,24,Southern Cal,7,8.0,Freedom Bowl
12/29/1992,Utah,28,Washington State,31,9.0,Copper Bowl
12/30/1992,Hawaii,27,Illinois,17,1.0,Holiday Bowl
12/31/1992,Air Force,0,Mississippi,13,9.0,Liberty Bowl
12/31/1992,Arizona,15,Baylor,20,-6.5,Sun Bowl
12/31/1992,Florida,27,No Carolina State,10,1.5,Gator Bowl
12/31/1992,Oregon,35,Wake Forest,39,-3.5,Independence Bowl
01/01/1993,Alabama,34,Miami-Florida,13,-13.0,Sugar Bowl
01/01/1993,Boston College,23,Tennessee,38,3.5,Hall of Fame Bowl
01/01/1993,Colorado,22,Syracuse,26,2.5,Fiesta Bowl
01/01/1993,Florida State,27,Nebraska,14,-10.5,Orange Bowl
01/01/1993,Georgia,21,Ohio State,14,-2.5,Citrus Bowl
01/01/1993,Michigan,38,Washington,31,0.0,Rose Bowl
01/01/1993,Notre Dame,28,Texas A+M,3,-6.0,Cotton Bowl
01/01/1993,Penn State,3,Stanford,24,1.5,Blockbuster Bowl
01/02/1993,Mississippi State,17,North Carolina,21,-2.5,Peach Bowl
