Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/14/2004,Southern Miss,31,North Texas,10,-6.0,New Orleans Bowl
12/21/2004,Syracuse,14,Georgia Tech,51,6.0,Champs Sports Bowl
12/22/2004,Memphis,35,Bowling Green,52,3.0,GMAC Bowl
12/23/2004,Marshall,14,Cincinnati,32,2.0,Fort Worth Bowl
12/23/2004,Wyoming,24,U.C.L.A.,21,12.0,Las Vegas Bowl
12/24/2004,U-A-B,40,Hawaii,59,3.5,Hawaii Bowl
12/27/2004,Fresno State,37,Virginia,34,5.0,MPC Computers Bowl
12/27/2004,Connecticut,39,Toledo,10,3.5,Motor City Bowl
12/28/2004,Miami-Ohio,13,Iowa State,17,-1.0,Independence Bowl
12/28/2004,Oregon State,38,Notre Dame,21,-4.0,Insight Bowl
12/29/2004,Colorado,33,UTEP,28,-4.0,Houston Bowl
12/29/2004,Ohio State,33,Oklahoma State,7,3.5,Alamo Bowl
12/30/2004,Boston College,37,North Carolina,24,1.0,Continental Tire Bowl
12/30/2004,Navy,34,New Mexico,19,3.0,Emerald Bowl
12/30/2004,Texas Tech,45,California,31,10.5,Holiday Bowl
12/30/2004,Troy,21,Northern Illinois,34,-1.5,Silicon Valley Bowl
12/31/2004,Minnesota,20,Alabama,16,1.5,Music City Bowl
12/31/2004,Arizona State,27,Purdue,23,8.5,Sun Bowl
12/31/2004,Boise State,40,Louisville,44,11.0,Liberty Bowl
12/31/2004,Florida,10,Miami-Florida,27,4.0,Peach Bowl
01/01/2005,Wisconsin,21,Georgia,24,7.5,Outback Bowl
01/01/2005,Tennessee,38,Texas A+M,7,4.5,Cotton Bowl
01/01/2005,West Virginia,18,Florida State,30,10.0,Gator Bowl
01/01/2005,Iowa,30,Louisiana State,25,6.0,Capital One Bowl
01/01/2005,Michigan,37,Texas,38,7.5,Rose Bowl
01/01/2005,Pittsburgh,7,Utah,35,14.0,Fiesta Bowl
01/03/2005,Virginia Tech,13,Auburn,16,6.0,Sugar Bowl
01/04/2005,Oklahoma,19,Southern Cal,55,1.0,Orange Bowl
