Date,Visitor,Visitor Score,Home Team,Home Score,Line
12/18/2010,UTEP,24,Brigham Young,52,11.5
12/18/2010,Northern Illinois,40,Fresno State,17,-1.5
12/18/2010,Ohio,21,Troy,48,2.0
12/21/2010,Louisville,31,Southern Miss,28,-2.5
12/22/2010,Utah,3,Boise State,26,16.5
12/23/2010,Navy,14,San Diego State,35,3.0
12/24/2010,Tulsa,62,Hawaii,35,10.0
12/26/2010,Florida Intl,34,Toledo,32,1.5
12/27/2010,Georgia Tech,7,Air Force,14,3.0
12/28/2010,No Carolina State,23,West Virginia,7,3.0
12/28/2010,Missouri,24,Iowa,27,-3.0
12/29/2010,East Carolina,20,Maryland,51,7.5
12/29/2010,Illinois,38,Baylor,14,1.0
12/29/2010,Arizona,10,Oklahoma State,36,4.5
12/30/2010,Army,16,S-M-U,14,7.0
12/30/2010,Kansas State,34,Syracuse,36,0.0
12/30/2010,North Carolina,30,Tennessee,27,-1.0
12/30/2010,Washington,19,Nebraska,7,14.0
12/31/2010,South Florida,31,Clemson,26,6.0
12/31/2010,Notre Dame,33,Miami-Florida,17,3.0
12/31/2010,U-C-F,10,Georgia,6,6.5
12/31/2010,Florida State,26,South Carolina,17,3.0
01/01/2011,Northwestern,38,Texas Tech,45,7.5
01/01/2011,Penn State,24,Florida,37,6.5
01/01/2011,Michigan State,7,Alabama,49,8.0
01/01/2011,Michigan,14,Mississippi State,52,3.0
01/01/2011,Texas Christian,21,Wisconsin,19,-3.0
01/01/2011,Connecticut,20,Oklahoma,48,15.0
01/03/2011,Virginia Tech,12,Stanford,40,3.5
01/04/2011,Arkansas,26,Ohio State,31,3.0
01/06/2011,Middle Tennessee,21,Miami-Ohio,35,-2.0
01/07/2011,Texas A+M,24,Louisiana State,41,2.5
01/08/2011,Kentucky,10,Pittsburgh,27,4.5
01/09/2011,Boston College,13,Nevada-Reno,20,7.5
01/10/2011,Oregon,19,Auburn,22,1.5
