Date,Visitor,Visitor Score,Home Team,Home Score,Line
09/01/1980,Arkansas,17,Texas,23,0.0
09/05/1980,Northern Illinois,16,Long Beach State,9, 
09/06/1980,Air Force,9,Colorado State,21,7.0
09/06/1980,Appalachian State,34,James Madison,6, 
09/06/1980,Ball State,17,Central Michigan,21, 
09/06/1980,Boise State,28,Utah,7, 
09/06/1980,Bowling Green,17,Richmond,20, 
09/06/1980,Brigham Young,21,New Mexico,25,-13.0
09/06/1980,Chattanooga,16,Jacksonville St,13, 
09/06/1980,Cincinnati,27,West Virginia,41,8.0
09/06/1980,Colgate,10,Penn State,54,23.5
09/06/1980,East Carolina,35,Duke,10,7.0
09/06/1980,Eastern Michigan,0,Western Michigan,37, 
09/06/1980,Florida State,16,Louisiana State,0,0.0
09/06/1980,Fullerton State,39,Fresno State,25, 
09/06/1980,Furman,13,North Carolina,35, 
09/06/1980,Georgia,16,Tennessee,15,4.0
09/06/1980,Georgia Tech,3,Alabama,26,20.0
09/06/1980,Indiana State,13,Drake,10, 
09/06/1980,Lamar,41,Texas Southern,8, 
09/06/1980,Marshall,35,Morehead State,8, 
09/06/1980,McNeese State,20,West Texas A+M,17, 
09/06/1980,Miami-Florida,24,Louisville,10,-6.0
09/06/1980,Mississippi State,34,Memphis,7,-8.0
09/06/1980,Nicholls State,13,Illinois State,28, 
09/06/1980,New Mexico State,12,UL-Lafayette,14, 
09/06/1980,North Texas,31,Texas-Arlington,14, 
09/06/1980,Northwestern,9,Illinois,35,10.0
09/06/1980,Pacific,0,South Carolina,37, 
09/06/1980,Presbyterian,14,The Citadel,21, 
09/06/1980,Purdue,10,Notre Dame,31,3.0
09/06/1980,Rhode Island,14,Holy Cross,21, 
09/06/1980,Santa Clara,14,San Jose State,28, 
09/06/1980,Southern Illinois,14,Wichita State,31, 
09/06/1980,Southern Miss,17,Tulane,14,7.0
09/06/1980,Stanford,35,Oregon,25,-4.0
09/06/1980,Texas A+M,23,Mississippi,20,-2.0
09/06/1980,UTEP,7,Texas Tech,35,17.0
09/06/1980,Utah State,10,Kentucky,17,16.5
09/06/1980,Villanova,3,Maryland,7,15.0
09/06/1980,Virginia Military,14,Western Carolina,16, 
09/06/1980,Virginia Tech,16,Wake Forest,7,6.0
09/06/1980,William + Mary,0,No Carolina State,42,21.5
09/06/1980,Wofford,16,East Tennessee St,9, 
09/13/1980,Abilene Christian,0,Hawaii,41, 
09/13/1980,Air Force,7,Washington,50,25.0
09/13/1980,Auburn,10,Texas Christian,7,-7.0
09/13/1980,Augustana (SD),0,Drake,42, 
09/13/1980,Ball State,18,Northern Illinois,17, 
09/13/1980,Baylor,42,Lamar,7,-11.0
09/13/1980,Boston College,6,Pittsburgh,14,24.0
09/13/1980,California,13,Florida,41,-4.0
09/13/1980,Chattanooga,32,Middle Tennessee,7, 
09/13/1980,Cincinnati,13,Tulsa,31, 
09/13/1980,The Citadel,14,Appalachian State,17, 
09/13/1980,Central Michigan,15,Miami-Ohio,14, 
09/13/1980,Colgate,17,Lehigh,17, 
09/13/1980,Colorado,14,U.C.L.A.,56,13.0
09/13/1980,Cal-San Luis Obispo,23,Fullerton State,30, 
09/13/1980,Eastern Illinois,35,Southern Illinois,37, 
09/13/1980,Eastern Michigan,18,Bowling Green,16, 
09/13/1980,East Tennessee St,7,Virginia Tech,35, 
09/13/1980,Florida A+M,0,Miami-Florida,49, 
09/13/1980,Fresno State,6,Nevada-Las Vegas,35, 
09/13/1980,Holy Cross,7,Army,28,4.0
09/13/1980,Houston,13,Arizona State,29,-6.0
09/13/1980,Idaho,13,Pacific,24, 
09/13/1980,Idaho State,7,Utah State,14, 
09/13/1980,Iowa,16,Indiana,7,6.0
09/13/1980,Kansas,7,Oregon,7,8.0
09/13/1980,Kent State,7,Marshall,17, 
09/13/1980,Kansas State,0,Louisiana State,21,11.0
09/13/1980,Kentucky,7,Oklahoma,29,18.0
09/13/1980,Louisville,0,Florida State,52,21.0
09/13/1980,Louisiana Tech,11,Mississippi State,31, 
09/13/1980,McNeese State,20,Toledo,17, 
09/13/1980,Michigan State,17,Illinois,20,3.0
09/13/1980,Memphis,7,Mississippi,61,10.0
09/13/1980,Navy,3,Virginia,6,7.0
09/13/1980,North Carolina,9,Texas Tech,3,1.0
09/13/1980,UL-Monroe,7,Iowa State,42, 
09/13/1980,New Mexico,16,Missouri,47,24.0
09/13/1980,North Texas,9,S-M-U,28,15.0
09/13/1980,Northwestern St(LA),38,Texas-Arlington,31, 
09/13/1980,Northwestern,10,Michigan,17,28.0
09/13/1980,Ohio,14,Minnesota,38, 
09/13/1980,Oregon State,10,Wyoming,30,3.0
09/13/1980,Presbyterian,7,Furman,28, 
09/13/1980,Purdue,12,Wisconsin,6,-10.0
09/13/1980,Rice,3,Clemson,19,17.0
09/13/1980,Richmond,21,Villanova,7, 
09/13/1980,Rutgers,21,Temple,3,6.0
09/13/1980,Southern Cal,20,Tennessee,17,-7.0
09/13/1980,San Diego State,11,Brigham Young,35,14.0
09/13/1980,San Jose State,31,Washington State,26,3.5
09/13/1980,UL-Lafayette,27,East Carolina,21, 
09/13/1980,Syracuse,21,Ohio State,31,25.0
09/13/1980,Tennessee-Martin,9,Arkansas State,29, 
09/13/1980,Tennessee Tech,26,Western Carolina,10, 
09/13/1980,Tulane,14,Stanford,19,11.0
09/13/1980,Texas A+M,0,Georgia,42,2.0
09/13/1980,Utah,9,Nebraska,55,23.0
09/13/1980,UTEP,3,New Mexico State,6, 
09/13/1980,Vanderbilt,6,Maryland,31,14.0
09/13/1980,Virginia Military,13,William + Mary,10, 
09/13/1980,Wichita State,0,South Carolina,73, 
09/13/1980,Western Michigan,31,Illinois State,17, 
09/13/1980,West Texas A+M,20,Oklahoma State,19, 
09/13/1980,West Virginia,52,Colorado State,24,-3.0
09/20/1980,Alabama,59,Mississippi,35,-14.0
09/20/1980,Appalachian State,7,Chattanooga,14, 
09/20/1980,Brigham Young,28,Wisconsin,3,-3.0
09/20/1980,California,19,Army,26,-14.0
09/20/1980,Cincinnati,7,Rutgers,24, 
09/20/1980,The Citadel,7,Wake Forest,24, 
09/20/1980,Clemson,16,Georgia,20,9.0
09/20/1980,Colorado,20,Louisiana State,23,21.0
09/20/1980,Columbia,6,Harvard,26,15.0
09/20/1980,Colorado State,15,Arizona,13, 
09/20/1980,Delaware,28,Temple,7, 
09/20/1980,Drake,38,Lamar,7, 
09/20/1980,Duke,28,Auburn,35,21.0
09/20/1980,East Carolina,7,Florida State,63, 
09/20/1980,Eastern Illinois,0,Indiana State,14, 
09/20/1980,Eastern Michigan,6,Ohio,34, 
09/20/1980,East Tennessee St,3,S E Louisiana,7, 
09/20/1980,Florida,45,Georgia Tech,12,1.0
09/20/1980,Furman,28,Western Carolina,14, 
09/20/1980,Illinois,7,Missouri,52,17.0
09/20/1980,Illinois State,0,Central Michigan,16, 
09/20/1980,Indiana,36,Kentucky,30,2.0
09/20/1980,Iowa,0,Nebraska,57,13.0
09/20/1980,Kent State,3,Navy,31, 
09/20/1980,Long Beach State,23,Bowling Green,21, 
09/20/1980,Louisiana Tech,11,Southern Miss,38, 
09/20/1980,Marshall,3,Virginia Military,17, 
09/20/1980,Michigan State,7,Oregon,35,6.0
09/20/1980,Maryland,14,West Virginia,11,-2.0
09/20/1980,Miami-Florida,14,Houston,7,7.0
09/20/1980,Miami-Ohio,24,Syracuse,36,8.5
09/20/1980,Michigan,27,Notre Dame,29,3.0
09/20/1980,Minnesota,0,Ohio State,47,24.0
09/20/1980,Mississippi State,24,Vanderbilt,14,-17.0
09/20/1980,Murray State,13,Louisville,9, 
09/20/1980,No Carolina State,27,Virginia,13,2.0
09/20/1980,UL-Monroe,35,Arkansas State,12, 
09/20/1980,Nicholls State,0,McNeese State,21, 
09/20/1980,New Mexico,17,Texas Tech,28, 
09/20/1980,Northern Arizona,13,Fullerton State,21, 
09/20/1980,North Texas,35,UTEP,15, 
09/20/1980,Northwestern,7,Washington,45,27.0
09/20/1980,Oklahoma State,20,Arkansas,33,14.0
09/20/1980,Oregon State,14,Arizona State,42,21.0
09/20/1980,Pacific,14,Hawaii,25, 
09/20/1980,Penn State,25,Texas A+M,9,-2.0
09/20/1980,Pennsylvania,7,Dartmouth,40,14.0
09/20/1980,Pittsburgh,18,Kansas,3,-16.0
09/20/1980,Princeton,7,Cornell,17,6.0
09/20/1980,Rice,14,Tulane,35,15.0
09/20/1980,Richmond,14,Wyoming,35, 
09/20/1980,South Carolina,13,Southern Cal,23,13.0
09/20/1980,South Dakota,3,Kansas State,24, 
09/20/1980,San Diego State,13,Air Force,10,-11.0
09/20/1980,Southern Illinois,17,New Mexico State,18, 
09/20/1980,San Jose State,6,Iowa State,27,8.5
09/20/1980,Stanford,13,Boston College,30,-6.0
09/20/1980,UL-Lafayette,14,Fresno State,16, 
09/20/1980,Texas Christian,14,S-M-U,17,15.0
09/20/1980,Toledo,7,Ball State,27, 
09/20/1980,Tulsa,10,Wichita State,23, 
09/20/1980,U.C.L.A.,23,Purdue,14,5.0
09/20/1980,Nevada-Las Vegas,29,Utah,45, 
09/20/1980,Utah State,17,Texas,35,29.0
09/20/1980,Villanova,12,Massachusetts,24, 
09/20/1980,Washington State,23,Tennessee,35,18.0
09/20/1980,Western Michigan,35,Northern Illinois,6, 
09/20/1980,William + Mary,3,Virginia Tech,7, 
09/20/1980,West Texas A+M,15,Baylor,43, 
09/20/1980,Yale,45,Brown,17,2.0
09/26/1980,Lehigh,35,Pennsylvania,6, 
09/27/1980,Air Force,20,Illinois,20,18.0
09/27/1980,Akron,9,Indiana State,27, 
09/27/1980,Arkansas State,7,Kansas State,31, 
09/27/1980,Arizona,31,California,24,6.0
09/27/1980,Army,18,Washington State,31,8.0
09/27/1980,Arizona State,21,Ohio State,38,17.0
09/27/1980,Baylor,11,Texas Tech,3,-3.0
09/27/1980,Boston College,9,Villanova,20,-6.0
09/27/1980,Bowling Green,20,Kentucky,21, 
09/27/1980,Bucknell,28,Brown,20, 
09/27/1980,Chattanooga,13,The Citadel,29, 
09/27/1980,Connecticut,10,Yale,20,10.0
09/27/1980,Cornell,20,Colgate,38,4.0
09/27/1980,Eastern Michigan,7,Toledo,49, 
09/27/1980,East Tennessee St,15,Appalachian State,42, 
09/27/1980,Fresno State,12,Utah,27, 
09/27/1980,Florida State,9,Miami-Florida,10,-6.0
09/27/1980,Hawaii,20,Wyoming,45, 
09/27/1980,Holy Cross,13,Harvard,14,4.0
09/27/1980,Iowa State,10,Iowa,7,4.0
09/27/1980,Indiana,49,Colorado,7,-6.0
09/27/1980,James Madison,6,Virginia Tech,38, 
09/27/1980,Kent State,6,Central Michigan,21, 
09/27/1980,Lafayette,0,Columbia,6, 
09/27/1980,Lamar,45,Stephen F Austin,21, 
09/27/1980,Long Beach State,25,Brigham Young,41, 
09/27/1980,Louisville,17,Kansas,9,13.0
09/27/1980,Louisiana State,7,Rice,17,-11.0
09/27/1980,Maryland,3,North Carolina,17,4.0
09/27/1980,Memphis,8,Georgia Tech,17,12.0
09/27/1980,Miami-Ohio,42,Ball State,9, 
09/27/1980,Missouri,31,San Diego State,7,-14.0
09/27/1980,Mississippi State,15,Florida,21,3.0
09/27/1980,Nebraska,21,Penn State,7,-4.0
09/27/1980,UL-Monroe,24,UL-Lafayette,0, 
09/27/1980,New Hampshire,24,Dartmouth,7, 
09/27/1980,Northern Illinois,22,Ohio,21, 
09/27/1980,New Mexico State,19,New Mexico,52, 
09/27/1980,North Texas,17,Houston,24,19.5
09/27/1980,Northwestern St(LA),13,McNeese State,10, 
09/27/1980,Northwestern,21,Syracuse,42,10.0
09/27/1980,Oregon,34,Washington,10,7.0
09/27/1980,Oregon State,0,Texas,35,25.0
09/27/1980,Princeton,13,Rutgers,44,21.0
09/27/1980,Richmond,28,West Virginia,31,18.0
09/27/1980,Southern Cal,24,Minnesota,7,-17.0
09/27/1980,South Carolina,17,Michigan,14,7.0
09/27/1980,S E Louisiana,28,Illinois State,21, 
09/27/1980,Southern Illinois,34,Drake,28, 
09/27/1980,Southern Miss,35,East Carolina,7, 
09/27/1980,Stanford,31,Oklahoma,14,15.0
09/27/1980,Texas State,13,West Texas A+M,21, 
09/27/1980,Texas-Arlington,16,S-M-U,52, 
09/27/1980,Texas Christian,3,Georgia,34,14.0
09/27/1980,Temple,2,Pittsburgh,36,17.0
09/27/1980,Tennessee,42,Auburn,0,2.0
09/27/1980,Tulane,26,Mississippi,24,3.0
09/27/1980,Tulsa,10,Arkansas,13,23.0
09/27/1980,Nevada-Las Vegas,56,Colorado State,15, 
09/27/1980,UTEP,14,Pacific,28, 
09/27/1980,Vanderbilt,0,Alabama,41,34.0
09/27/1980,Virginia,20,Duke,17,-7.0
09/27/1980,Virginia Military,16,Furman,21, 
09/27/1980,Western Carolina,10,Clemson,17, 
09/27/1980,Wake Forest,27,No Carolina State,7,8.0
09/27/1980,Wichita State,13,Cincinnati,8, 
09/27/1980,Western Illinois,6,Louisiana Tech,42, 
09/27/1980,Wisconsin,0,U.C.L.A.,35,17.0
09/27/1980,Western Michigan,7,Michigan State,33, 
09/27/1980,William + Mary,6,Navy,45,24.0
10/03/1980,Kentucky,0,Alabama,45,22.0
10/04/1980,Air Force,16,Yale,17,2.0
10/04/1980,Arkansas State,3,Memphis,24, 
10/04/1980,Appalachian State,23,Marshall,6, 
10/04/1980,Arizona,5,Iowa,3,6.0
10/04/1980,Arizona State,21,Southern Cal,23,14.0
10/04/1980,Ball State,7,McNeese State,24, 
10/04/1980,Boston College,0,Navy,21,4.0
10/04/1980,Boston University,6,Temple,53, 
10/04/1980,Bowling Green,17,Western Michigan,14, 
10/04/1980,Brown,28,Princeton,11,2.0
10/04/1980,California,13,Michigan,38,14.0
10/04/1980,Cincinnati,6,Villanova,23, 
10/04/1980,Colgate,21,Connecticut,24, 
10/04/1980,Columbia,13,Pennsylvania,24,1.0
10/04/1980,Colorado State,0,Iowa State,69, 
10/04/1980,Cal-San Luis Obispo,25,Fresno State,31, 
10/04/1980,Dartmouth,6,Holy Cross,17,-1.0
10/04/1980,Drake,30,Texas-Arlington,20, 
10/04/1980,Duke,21,Indiana,31,17.0
10/04/1980,Florida State,18,Nebraska,14,14.0
10/04/1980,Fullerton State,17,Nevada-Las Vegas,36, 
10/04/1980,Furman,42,Chattanooga,28, 
10/04/1980,Georgia Tech,0,North Carolina,33,15.0
10/04/1980,Harvard,15,Army,10,12.0
10/04/1980,Houston,12,Baylor,24,7.0
10/04/1980,Illinois State,14,Eastern Illinois,31, 
10/04/1980,Indiana State,20,Wichita State,46, 
10/04/1980,Kansas,23,Syracuse,8,7.0
10/04/1980,Kansas State,0,Tulsa,3,1.0
10/04/1980,Louisiana State,24,Florida,7,7.0
10/04/1980,Louisiana Tech,7,East Tennessee St,3, 
10/04/1980,Maryland,9,Pittsburgh,38,11.0
10/04/1980,Miami-Ohio,3,Purdue,28,15.5
10/04/1980,Minnesota,49,Northwestern,21,-11.0
10/04/1980,Mississippi,22,Southern Miss,28, 
10/04/1980,Mississippi State,28,Illinois,21,-6.0
10/04/1980,No Carolina State,10,South Carolina,30,11.0
10/04/1980,Notre Dame,26,Michigan State,21,-12.0
