Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/15/1994,Central Michigan,24,Nevada-Las Vegas,52, ,Las Vegas Bowl
12/25/1994,Boston College,12,Kansas State,7,0.0,Aloha Bowl
12/27/1994,Arizona,13,Utah,16,-5.0,Freedom Bowl
12/28/1994,Virginia,20,Texas Christian,10,-10.0,Independence Bowl
12/29/1994,Oklahoma,6,Brigham Young,31,-2.5,Copper Bowl
12/30/1994,Michigan,24,Colorado State,14,-8.0,Holiday Bowl
12/30/1994,North Carolina,31,Texas,35,1.0,Sun Bowl
12/30/1994,Virginia Tech,23,Tennessee,45,6.5,Gator Bowl
12/31/1994,Illinois,30,East Carolina,0,-7.0,Liberty Bowl
12/31/1994,Washington State,10,Baylor,3,-4.0,Alamo Bowl
01/01/1995,Mississippi State,24,No Carolina State,28,-5.5,Peach Bowl
01/01/1995,Nebraska,24,Miami-Florida,17,2.0,Orange Bowl
01/02/1995,Colorado,41,Notre Dame,24,-7.0,Fiesta Bowl
01/02/1995,Florida State,23,Florida,17,3.0,Sugar Bowl
01/02/1995,Ohio State,17,Alabama,24,5.5,Citrus Bowl
01/02/1995,Penn State,38,Oregon,20,-17.0,Rose Bowl
01/02/1995,Southern Cal,55,Texas Tech,14,-5.5,Cotton Bowl
01/02/1995,South Carolina,24,West Virginia,21,1.5,Carquest Bowl
01/02/1995,Wisconsin,34,Duke,20,-6.0,Hall of Fame Bowl
