Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/20/2000,Southern Miss,28,Texas Christian,21,7.0,Mobile Alabama Bowl
12/21/2000,Arkansas,14,Nevada-Las Vegas,31,1.0,Las Vegas Bowl
12/24/2000,Virginia,14,Georgia,37,9.5,Oahu Bowl
12/25/2000,Boston College,31,Arizona State,17,3.5,Aloha Bowl
12/27/2000,Cincinnati,14,Marshall,25,-3.5,Motor City Bowl
12/27/2000,Texas Tech,27,East Carolina,40,-1.0,Gallery Furniture Bowl
12/28/2000,UTEP,23,Boise State,38,7.0,Humanitarian Bowl
12/28/2000,West Virginia,49,Mississippi,38,4.0,Music City Bowl
12/28/2000,Minnesota,30,No Carolina State,38,-3.5,Micron PC Bowl
12/28/2000,Pittsburgh,29,Iowa State,37,0.0,Insight Bowl
12/29/2000,Colorado State,22,Louisville,17,-1.5,Liberty Bowl
12/29/2000,Wisconsin,21,U.C.L.A.,20,-4.5,Sun Bowl
12/29/2000,Louisiana State,28,Georgia Tech,14,8.5,Peach Bowl
12/29/2000,Texas,30,Oregon,35,-7.0,Holiday Bowl
12/30/2000,Northwestern,17,Nebraska,66,14.5,Alamo Bowl
12/31/2000,Air Force,37,Fresno State,34,1.0,Silicon Valley Bowl
12/31/2000,Texas A+M,41,Mississippi State,43,-1.0,Independence Bowl
01/01/2001,Ohio State,7,South Carolina,24,-6.5,Outback Bowl
01/01/2001,Tennessee,21,Kansas State,35,3.5,Cotton Bowl
01/01/2001,Virginia Tech,41,Clemson,20,-6.5,Gator Bowl
01/01/2001,Michigan,31,Auburn,28,-8.0,Citrus Bowl
01/01/2001,Purdue,24,Washington,34,-1.0,Rose Bowl
01/01/2001,Notre Dame,9,Oregon State,41,3.0,Fiesta Bowl
01/02/2001,Miami-Florida,37,Florida,20,-6.0,Sugar Bowl
01/03/2001,Florida State,2,Oklahoma,13,-11.5,Orange Bowl
