Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/29/1998,Colorado State,23,Michigan State,16,3.5
08/29/1998,Louisiana Tech,27,Nebraska,56,35.0
08/30/1998,Purdue,17,Southern Cal,27,7.0
08/31/1998,Texas A+M,14,Florida State,23,14.5
09/03/1998,Northern Iowa,13,Eastern Michigan,10, 
09/03/1998,Northern Illinois,23,Western Michigan,37,17.5
09/03/1998,Ohio,31,No Carolina State,34,13.0
09/03/1998,Virginia,19,Auburn,0,0.0
09/03/1998,Arizona,27,Hawaii,6,-18.5
09/05/1998,Tennessee,34,Syracuse,33,0.0
09/05/1998,Nevada-Las Vegas,7,Northwestern,41,17.5
09/05/1998,East Carolina,3,Virginia Tech,38,9.5
09/05/1998,Furman,0,Clemson,33, 
09/05/1998,Southern Miss,6,Penn State,34,8.0
09/05/1998,Wake Forest,0,Air Force,42,1.0
09/05/1998,U-A-B,7,Nebraska,38,35.0
09/05/1998,Kentucky,68,Louisville,34,-10.0
09/05/1998,New Mexico State,36,Texas,66, 
09/05/1998,Oklahoma State,38,Kansas,28,-8.5
09/05/1998,Texas Christian,31,Iowa State,21,4.5
09/05/1998,Central Michigan,0,Iowa,38,34.0
09/05/1998,Arkansas State,14,Minnesota,17, 
09/05/1998,Boston College,41,Georgia Tech,31,13.0
09/05/1998,Houston,10,California,14,14.0
09/05/1998,Michigan State,14,Oregon,48,1.0
09/05/1998,Michigan,20,Notre Dame,36,-6.0
09/05/1998,San Jose State,35,Stanford,23,15.0
09/05/1998,Villanova,41,Pittsburgh,48, 
09/05/1998,Nevada-Reno,6,Oregon State,48, 
09/05/1998,Kent State,3,Georgia,56,35.0
09/05/1998,The Citadel,10,Florida,49, 
09/05/1998,Eastern Washington,14,Idaho,31, 
09/05/1998,James Madison,15,Maryland,23, 
09/05/1998,Miami-Ohio,13,North Carolina,10,19.0
09/05/1998,Richmond,6,Rutgers,7, 
09/05/1998,Illinois,13,Washington State,20,12.0
09/05/1998,Ball State,20,South Carolina,38,19.5
09/05/1998,Brigham Young,31,Alabama,38,4.5
09/05/1998,U-C-F,64,Louisiana Tech,30, 
09/05/1998,Marshall,27,Akron,16,-16.5
09/05/1998,Memphis,10,Mississippi,30,10.0
09/05/1998,North Texas,9,Oklahoma,37, 
09/05/1998,UL-Lafayette,17,Arkansas,38, 
09/05/1998,Temple,12,Toledo,24,11.0
09/05/1998,Tulane,52,Cincinnati,34,-3.0
09/05/1998,UTEP,3,Texas Tech,35,18.0
09/05/1998,Vanderbilt,0,Mississippi State,42,12.5
09/05/1998,Western Carolina,10,Duke,24, 
09/05/1998,Indiana State,0,Kansas State,66, 
09/05/1998,Bowling Green,0,Missouri,37,26.0
09/05/1998,East Tennessee St,17,Miami-Florida,66, 
09/05/1998,Nicholls State,10,UL-Monroe,44, 
09/05/1998,Ohio State,34,West Virginia,17,-11.0
09/05/1998,S-M-U,17,Rice,23,6.0
09/05/1998,Missouri State,14,Tulsa,49, 
09/05/1998,Idaho State,9,New Mexico,38, 
09/05/1998,Utah,20,Utah State,12, 
09/05/1998,Northridge State,13,Boise State,26, 
09/05/1998,Wisconsin,26,San Diego State,14,-10.5
09/05/1998,Colorado,42,Colorado State,14,3.5
09/05/1998,Washington,42,Arizona State,38,5.5
09/10/1998,Navy,14,Wake Forest,26,10.0
09/12/1998,Mississippi State,14,Memphis,6,-11.0
09/12/1998,Toledo,0,Ohio State,49,37.5
09/12/1998,Virginia Tech,37,Clemson,0,3.0
09/12/1998,Duke,44,Northwestern,10,12.0
09/12/1998,Akron,35,Temple,28,9.0
09/12/1998,Bowling Green,3,Penn State,48,38.0
09/12/1998,Maryland,19,Virginia,31,28.0
09/12/1998,Miami-Ohio,14,Army,13,-7.5
09/12/1998,Rutgers,14,Boston College,41,23.0
09/12/1998,Western Illinois,14,Central Michigan,35, 
09/12/1998,Eastern Kentucky,7,Kentucky,52, 
09/12/1998,Chattanooga,0,East Carolina,31, 
09/12/1998,Eastern Michigan,13,Ball State,7,9.0
09/12/1998,Minnesota,14,Houston,7,3.0
09/12/1998,Ohio,0,Wisconsin,45,16.0
09/12/1998,Rice,19,Purdue,21,9.5
09/12/1998,Vanderbilt,7,Alabama,32,19.5
09/12/1998,Iowa State,27,Iowa,9,28.0
09/12/1998,Northern Illinois,7,Kansas State,73,48.5
09/12/1998,Fresno State,21,Colorado,29,22.0
09/12/1998,Arizona,31,Stanford,14,-7.5
09/12/1998,Florida State,7,No Carolina State,24,-24.0
09/12/1998,Miami-Florida,38,Cincinnati,12,-14.0
09/12/1998,Syracuse,38,Michigan,28,10.5
09/12/1998,Texas,31,U.C.L.A.,49,9.0
09/12/1998,Baylor,17,Oregon State,27,7.0
09/12/1998,Montana State,9,Wyoming,17, 
09/12/1998,San Diego State,6,Southern Cal,35,19.5
09/12/1998,Colorado State,26,Nevada-Reno,14, 
09/12/1998,Eastern Illinois,0,U-C-F,48, 
09/12/1998,UL-Monroe,10,Florida,42,44.5
09/12/1998,Youngstown State,24,Kent State,10, 
09/12/1998,Auburn,17,Mississippi,0,3.5
09/12/1998,Georgia,17,South Carolina,3,-3.5
09/12/1998,Middle Tennessee,20,Illinois,48, 
09/12/1998,Notre Dame,23,Michigan State,45,-7.0
09/12/1998,New Mexico State,7,Georgia Tech,42, 
09/12/1998,Oklahoma State,20,Tulsa,35,-9.0
09/12/1998,Troy,12,Marshall,42, 
09/12/1998,Western Michigan,30,Indiana,45,5.5
09/12/1998,Oklahoma,10,Texas Christian,9,-6.0
09/12/1998,Kansas,23,Missouri,41,16.0
09/12/1998,Nebraska,24,California,3,-21.0
09/12/1998,Texas Tech,30,North Texas,0, 
09/12/1998,Arkansas State,6,Louisiana State,42, 
09/12/1998,Northwestern St(LA),24,UL-Lafayette,22, 
09/12/1998,Tulane,31,S-M-U,21,-8.5
09/12/1998,Utah State,36,New Mexico,39, 
09/12/1998,Louisiana Tech,7,Texas A+M,28, 
09/12/1998,Oregon,33,UTEP,26,-21.5
09/12/1998,Arizona State,6,Brigham Young,26,-6.5
09/12/1998,Idaho,17,San Jose State,12, 
09/12/1998,Louisville,22,Utah,45,16.0
09/12/1998,Washington State,33,Boise State,21, 
09/12/1998,Air Force,52,Nevada-Las Vegas,10,-18.0
09/17/1998,Colorado State,27,Air Force,30,3.0
09/19/1998,Cincinnati,20,Army,37,-1.0
09/19/1998,Rutgers,14,Syracuse,70,42.5
09/19/1998,Eastern Michigan,20,Michigan,59,35.0
09/19/1998,Louisville,35,Illinois,9,6.5
09/19/1998,Temple,7,Boston College,31,18.0
09/19/1998,Wyoming,9,Georgia,16,19.0
09/19/1998,Clemson,18,Virginia,20,15.0
09/19/1998,East Carolina,21,Ohio,14,-1.0
09/19/1998,Maryland,20,West Virginia,42,20.0
09/19/1998,Missouri,14,Ohio State,35,26.0
09/19/1998,Texas A+M,24,Southern Miss,6,-2.5
09/19/1998,Indiana,27,Kentucky,31,21.0
09/19/1998,U.C.L.A.,42,Houston,24,-27.5
09/19/1998,Ball State,0,Iowa State,38,11.5
