Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/24/1996,Texas A+M,37,Brigham Young,41,-6.0
08/25/1996,Penn State,24,Southern Cal,7,-2.0
08/29/1996,Akron,14,Ohio,44,5.0
08/29/1996,Eastern Illinois,28,Western Michigan,20, 
08/29/1996,Nicholls State,12,UL-Monroe,14, 
08/29/1996,William + Mary,33,U-C-F,39, 
08/29/1996,Appalachian State,13,Wake Forest,19, 
08/29/1996,Ball State,10,Kansas,35,21.0
08/29/1996,New Mexico,28,New Mexico State,7,-9.0
08/30/1996,Tulane,34,Cincinnati,14,13.0
08/31/1996,San Jose State,0,Air Force,45,22.5
08/31/1996,Miami-Florida,30,Memphis,7,-14.5
08/31/1996,Purdue,14,Michigan State,52,3.0
08/31/1996,Southern Miss,11,Georgia,7,10.5
08/31/1996,Kent State,6,Miami-Ohio,64,25.0
08/31/1996,Bowling Green,7,Alabama,21,25.0
08/31/1996,Idaho,38,Wyoming,40,16.0
08/31/1996,Chattanooga,19,Colorado State,61, 
08/31/1996,Clemson,0,North Carolina,45,2.0
08/31/1996,Illinois,8,Michigan,20,12.5
08/31/1996,Texas Tech,14,Kansas State,21,7.0
08/31/1996,Washington State,19,Colorado,37,19.5
08/31/1996,UL-Lafayette,21,Florida,55,42.0
08/31/1996,Villanova,28,Rutgers,38, 
08/31/1996,Louisville,38,Kentucky,14,1.0
08/31/1996,Idaho State,14,Mississippi,38, 
08/31/1996,Missouri,10,Texas,40,22.5
08/31/1996,Northern Illinois,6,Maryland,30,23.0
08/31/1996,Missouri State,20,Oklahoma State,23, 
08/31/1996,Temple,28,Eastern Michigan,24,-2.0
08/31/1996,U-A-B,0,Auburn,29, 
08/31/1996,Nevada-Las Vegas,3,Tennessee,62,53.5
08/31/1996,West Virginia,34,Pittsburgh,0,-4.5
08/31/1996,Middle Tennessee,0,Louisiana Tech,20, 
08/31/1996,Sam Houston State,25,Houston,43, 
08/31/1996,Tulsa,10,S-M-U,17,-2.0
08/31/1996,Arkansas State,9,Brigham Young,58,33.0
08/31/1996,Central Michigan,42,Boise State,21,1.0
08/31/1996,Utah,17,Utah State,20,-12.5
08/31/1996,Boston College,24,Hawaii,21,-10.0
08/31/1996,Oregon,30,Fresno State,27,-7.0
08/31/1996,UTEP,3,Arizona,23,26.5
09/05/1996,Notre Dame,14,Vanderbilt,7,-22.0
09/07/1996,Furman,3,Clemson,19, 
09/07/1996,Georgia Tech,28,No Carolina State,16,-2.0
09/07/1996,Michigan State,14,Nebraska,55,28.5
09/07/1996,Western Michigan,9,West Virginia,34,25.0
09/07/1996,Rice,7,Ohio State,70,25.5
09/07/1996,Southern Miss,10,Alabama,20,10.0
09/07/1996,Arizona,20,Iowa,21,6.5
09/07/1996,Oklahoma State,3,Texas Tech,31,15.5
09/07/1996,Texas Christian,20,Oklahoma,7,7.0
09/07/1996,Eastern Michigan,3,Wisconsin,24,23.5
09/07/1996,Illinois State,14,North Texas,20, 
