Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/20/2005,Southern Miss,31,Arkansas State,19,-16.5,New Orleans Bowl
12/21/2005,Toledo,45,UTEP,13,-3.0,GMAC Bowl
12/22/2005,California,35,Brigham Young,28,-7.5,Las Vegas Bowl
12/22/2005,Navy,51,Colorado State,30,-2.5,Poinsettia Bowl
12/23/2005,Houston,13,Kansas,42,3.0,Fort Worth Bowl
12/24/2005,U-C-F,48,Nevada-Reno,49,2.0,Hawaii Bowl
12/26/2005,Memphis,38,Akron,31,-5.0,Motor City Bowl
12/27/2005,Colorado,10,Clemson,19,10.0,Champs Sports Bowl
12/27/2005,Rutgers,40,Arizona State,45,10.0,Insight Bowl
12/28/2005,Boston College,27,Boise State,21,-1.5,MPC Computers Bowl
12/28/2005,Nebraska,32,Michigan,28,11.0,Alamo Bowl
12/29/2005,Georgia Tech,10,Utah,38,-8.5,Emerald Bowl
12/29/2005,Oklahoma,17,Oregon,14,3.0,Holiday Bowl
12/30/2005,Virginia,34,Minnesota,31,4.0,Music City Bowl
12/30/2005,Northwestern,38,U.C.L.A.,50,3.0,Sun Bowl
12/30/2005,Missouri,38,South Carolina,31,4.0,Independence Bowl
12/30/2005,Louisiana State,40,Miami-Florida,3,7.0,Peach Bowl
12/31/2005,South Florida,0,No Carolina State,14,4.0,Meineke Car Care Bowl
12/31/2005,Fresno State,24,Tulsa,31,-7.0,Liberty Bowl
12/31/2005,Texas Christian,27,Iowa State,24,-3.5,Houston Bowl
01/02/2006,Alabama,13,Texas Tech,10,3.5,Cotton Bowl
01/02/2006,Iowa,24,Florida,31,1.5,Outback Bowl
01/02/2006,Louisville,24,Virginia Tech,35,7.5,Gator Bowl
01/02/2006,Wisconsin,24,Auburn,10,11.0,Capital One Bowl
01/02/2006,Notre Dame,20,Ohio State,34,4.5,Fiesta Bowl
01/02/2006,West Virginia,38,Georgia,35,7.0,Sugar Bowl
01/03/2006,Penn State,26,Florida State,23,-10.0,Orange Bowl
01/04/2006,Texas,41,Southern Cal,38,7.5,Rose Bowl
