Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/12/1981,Oklahoma State,16,Texas A+M,33,3.5,Independence Bowl
12/13/1981,Tennessee,28,Wisconsin,21,7.0,Garden State Bowl
12/18/1981,Brigham Young,38,Washington State,36,-3.0,Holiday Bowl
12/19/1981,Missouri,19,Southern Miss,17,3.0,Tangerine Bowl
12/19/1981,San Jose State,25,Toledo,27, ,California Bowl
12/26/1981,Houston,14,Oklahoma,40,2.0,Sun Bowl
12/28/1981,Arkansas,27,North Carolina,31,4.0,Gator Bowl
12/30/1981,Navy,28,Ohio State,31,11.0,Liberty Bowl
12/31/1981,Florida,6,West Virginia,26,-7.0,Peach Bowl
12/31/1981,Kansas,0,Mississippi State,10,6.5,Hall of Fame Bowl
12/31/1981,Michigan,33,U.C.L.A.,14,-3.0,Bluebonnet Bowl
01/01/1982,Alabama,12,Texas,14,-1.5,Cotton Bowl
01/01/1982,Clemson,22,Nebraska,15,5.0,Orange Bowl
01/01/1982,Georgia,20,Pittsburgh,24,2.0,Sugar Bowl
01/01/1982,Iowa,0,Washington,28,-3.0,Rose Bowl
01/01/1982,Penn State,26,Southern Cal,10,3.0,Fiesta Bowl
