Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/20/2008,Navy,19,Wake Forest,29,3.0,EagleBank Bowl
12/20/2008,Fresno State,35,Colorado State,40,-3.0,New Mexico Bowl
12/20/2008,Memphis,14,South Florida,41,11.0,St Petersburg Bowl
12/20/2008,Brigham Young,21,Arizona,31,3.5,Las Vegas Bowl
12/21/2008,Troy,27,Southern Miss,30,-5.0,New Orleans Bowl
12/23/2008,Texas Christian,17,Boise State,16,-3.0,Poinsettia Bowl
12/24/2008,Notre Dame,49,Hawaii,21,-2.5,Hawaii Bowl
12/26/2008,Florida Atlantic,24,Central Michigan,21,7.0,Motor City Bowl
12/27/2008,West Virginia,31,North Carolina,30,-2.5,Meineke Car Care Bowl
12/27/2008,Wisconsin,13,Florida State,42,7.0,Champs Sports Bowl
12/27/2008,Miami-Florida,17,California,24,10.0,Emerald Bowl
12/28/2008,Northern Illinois,10,Louisiana Tech,17,3.0,Independence Bowl
12/29/2008,No Carolina State,23,Rutgers,29,6.0,PapaJohns.com Bowl
12/29/2008,Northwestern,23,Missouri,30,14.0,Alamo Bowl
12/30/2008,Nevada-Reno,35,Maryland,42,-3.0,Humanitarian Bowl
12/30/2008,Western Michigan,14,Rice,38,3.0,Texas Bowl
12/30/2008,Oregon,42,Oklahoma State,31,2.5,Holiday Bowl
12/31/2008,Air Force,28,Houston,34,5.5,Armed Forces Bowl
12/31/2008,Pittsburgh,0,Oregon State,3,1.0,Sun Bowl
12/31/2008,Boston College,14,Vanderbilt,16,-5.5,Music City Bowl
12/31/2008,Minnesota,21,Kansas,42,7.5,Insight Bowl
12/31/2008,Louisiana State,38,Georgia Tech,3,4.0,Chick-Fil-A Bowl
01/01/2009,Iowa,31,South Carolina,10,-3.5,Outback Bowl
01/01/2009,Clemson,21,Nebraska,26,-2.0,Gator Bowl
01/01/2009,Michigan State,12,Georgia,24,9.0,Capital One Bowl
01/01/2009,Penn State,24,Southern Cal,38,9.0,Rose Bowl
01/01/2009,Virginia Tech,20,Cincinnati,7,2.0,Orange Bowl
01/02/2009,Mississippi,47,Texas Tech,34,4.5,Cotton Bowl
01/02/2009,East Carolina,19,Kentucky,25,-3.0,Liberty Bowl
01/02/2009,Utah,31,Alabama,17,9.5,Sugar Bowl
01/03/2009,Buffalo,20,Connecticut,38,7.0,International Bowl
01/05/2009,Ohio State,21,Texas,24,9.5,Fiesta Bowl
01/06/2009,Ball State,13,Tulsa,45,2.5,GMAC Bowl
01/08/2009,Florida,24,Oklahoma,14,-4.5,BCS Championship Game
