Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/19/2006,Northern Illinois,7,Texas Christian,37,12.0,Poinsettia Bowl
12/21/2006,Oregon,8,Brigham Young,38,3.0,Las Vegas Bowl
12/22/2006,Rice,17,Troy,41,-5.5,New Orleans Bowl
12/23/2006,East Carolina,7,South Florida,24,4.5,PapaJohns.com Bowl
12/23/2006,San Jose State,20,New Mexico,12,3.5,New Mexico Bowl
12/23/2006,Tulsa,13,Utah,25,2.5,Armed Forces Bowl
12/24/2006,Arizona State,24,Hawaii,41,9.0,Hawaii Bowl
12/26/2006,Middle Tennessee,14,Central Michigan,31,8.5,Motor City Bowl
12/27/2006,Florida State,44,U.C.L.A.,27,3.5,Emerald Bowl
12/28/2006,Oklahoma State,34,Alabama,31,-2.0,Independence Bowl
12/28/2006,Kansas State,10,Rutgers,37,9.0,Texas Bowl
12/28/2006,Texas A+M,10,California,45,3.0,Holiday Bowl
12/29/2006,Kentucky,28,Clemson,20,11.5,Music City Bowl
12/29/2006,Missouri,38,Oregon State,39,3.5,Sun Bowl
12/29/2006,Houston,36,South Carolina,44,4.5,Liberty Bowl
12/29/2006,Purdue,7,Maryland,24,-1.0,Champs Sports Bowl
12/29/2006,Minnesota,41,Texas Tech,44,8.5,Insight Bowl
12/30/2006,Navy,24,Boston College,25,8.0,Meineke Car Care Bowl
12/30/2006,Iowa,24,Texas,26,9.0,Alamo Bowl
12/30/2006,Virginia Tech,24,Georgia,31,-3.0,Chick-fil-A Bowl
12/31/2006,Nevada-Reno,20,Miami-Florida,21,3.5,MPC Computers Bowl
01/01/2007,Nebraska,14,Auburn,17,2.0,Cotton Bowl
01/01/2007,Penn State,20,Tennessee,10,4.0,Outback Bowl
01/01/2007,Wisconsin,17,Arkansas,14,2.0,Capital One Bowl
01/01/2007,Georgia Tech,35,West Virginia,38,9.0,Gator Bowl
01/01/2007,Michigan,18,Southern Cal,32,-2.0,Rose Bowl
01/01/2007,Boise State,43,Oklahoma,42,7.5,Fiesta Bowl
01/02/2007,Wake Forest,13,Louisville,24,10.0,Orange Bowl
01/03/2007,Notre Dame,14,Louisiana State,41,9.0,Sugar Bowl
01/06/2007,Western Michigan,24,Cincinnati,27,7.5,International Bowl
01/07/2007,Ohio,7,Southern Miss,28,6.0,GMAC Bowl
