Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/28/1991,Georgia Tech,22,Penn State,34,2.0
08/29/1991,Brigham Young,28,Florida State,44,-14.5
08/31/1991,Arkansas State,24,Colorado State,38, 
08/31/1991,Ball State,7,Miami-Ohio,15, 
08/31/1991,Boston College,13,Rutgers,20,2.0
08/31/1991,Central Michigan,17,Ohio,17, 
08/31/1991,Delta State,7,Southern Miss,25, 
08/31/1991,East Carolina,31,Illinois,38,13.0
08/31/1991,Eastern Kentucky,14,Louisville,24, 
08/31/1991,Eastern Michigan,6,Bowling Green,17, 
08/31/1991,Fullerton State,3,Mississippi State,47, 
08/31/1991,Georgia Southern,17,Auburn,32, 
08/31/1991,Hawaii,32,Wyoming,17,5.0
08/31/1991,James Madison,12,Virginia Tech,41, 
08/31/1991,Kent State,10,Western Michigan,13, 
08/31/1991,Louisiana Tech,3,Houston,73, 
08/31/1991,Miami-Florida,31,Arkansas,3,-21.5
08/31/1991,Mississippi,22,Tulane,3,-4.0
08/31/1991,UL-Monroe,21,UL-Lafayette,10, 
08/31/1991,New Mexico,19,UTEP,35,3.0
08/31/1991,Pittsburgh,34,West Virginia,3,2.5
08/31/1991,Sacramento State,43,Pacific,40, 
08/31/1991,Missouri State,13,Tulsa,34, 
08/31/1991,Utah State,7,Utah,12, 
08/31/1991,Western Carolina,0,Georgia,48, 
08/31/1991,Weber State,31,Air Force,48, 
09/02/1991,Memphis,24,Southern Cal,10,17.0
09/05/1991,Tennessee,28,Louisville,11,-7.5
09/07/1991,Air Force,31,Colorado State,26,5.5
09/07/1991,Akron,12,Western Michigan,35, 
09/07/1991,Appalachian State,0,Clemson,34, 
09/07/1991,Arizona,14,Ohio State,38,9.0
09/07/1991,Ball State,33,Navy,10, 
09/07/1991,Bowling Green,17,West Virginia,24, 
09/07/1991,Brigham Young,23,U.C.L.A.,27,5.0
09/07/1991,Cincinnati,0,Penn State,81,36.5
09/07/1991,Duke,24,South Carolina,24,9.0
09/07/1991,Eastern Illinois,13,Iowa State,42, 
09/07/1991,Eastern Michigan,3,Purdue,49, 
09/07/1991,Fullerton State,7,Texas Tech,41, 
09/07/1991,Hawaii,10,Iowa,53,15.0
09/07/1991,Indiana,27,Notre Dame,49,17.5
09/07/1991,Indiana State,25,Kansas State,26, 
09/07/1991,Kansas,30,Toledo,7, 
09/07/1991,Louisiana State,10,Georgia,31,5.5
09/07/1991,Miami-Ohio,20,Kentucky,23, 
09/07/1991,Michigan,35,Boston College,13,-23.0
09/07/1991,Mississippi,10,Memphis,0,-2.5
09/07/1991,Northern Illinois,7,Fresno State,55, 
09/07/1991,New Mexico,7,Texas Christian,60,20.0
09/07/1991,Northwestern St(LA),28,Arkansas State,3, 
09/07/1991,Oklahoma State,7,Tulsa,13,3.0
09/07/1991,Pacific,24,California,86, 
09/07/1991,San Jose State,21,Florida,59, 
09/07/1991,Southern Miss,14,Pittsburgh,35,6.0
09/07/1991,S-M-U,6,Arkansas,17,16.0
09/07/1991,UL-Lafayette,24,Central Michigan,27, 
09/07/1991,Temple,3,Alabama,41,18.0
09/07/1991,Texas,6,Mississippi State,13,-8.0
09/07/1991,Tulane,11,Florida State,38,39.0
09/07/1991,Nevada-Las Vegas,8,Nevada-Reno,50, 
09/07/1991,Utah,22,Oregon State,10,-1.0
09/07/1991,UTEP,7,Baylor,27,18.5
09/07/1991,Utah State,28,Nebraska,59, 
09/07/1991,Vanderbilt,10,Syracuse,37,24.0
09/07/1991,Virginia,6,Maryland,17,-4.5
09/07/1991,Virginia Tech,0,No Carolina State,7,1.5
09/07/1991,Washington,42,Stanford,7,-7.5
09/07/1991,Washington State,14,Oregon,40,8.0
09/07/1991,Wyoming,13,Colorado,30,22.0
09/08/1991,Long Beach State,13,San Diego State,49, 
09/12/1991,Houston,10,Miami-Florida,40,7.0
09/14/1991,Air Force,24,Utah,21,-5.0
09/14/1991,Arkansas State,21,Northern Illinois,22, 
09/14/1991,Alabama,0,Florida,35,8.0
09/14/1991,Arizona State,30,Oklahoma State,3,-3.0
09/14/1991,Ball State,16,Texas Christian,22, 
09/14/1991,Baylor,16,Colorado,14,7.5
09/14/1991,Cincinnati,16,North Carolina,51,31.5
09/14/1991,Central Michigan,20,Michigan State,3, 
09/14/1991,Colgate,22,Army,51, 
09/14/1991,Colorado State,14,Nebraska,71,24.0
09/14/1991,Eastern Michigan,3,Miami-Ohio,29, 
09/14/1991,Fresno State,34,Washington State,30, 
09/14/1991,Georgia Tech,30,Boston College,14,-14.5
09/14/1991,Idaho State,7,Kansas State,41, 
09/14/1991,Illinois,19,Missouri,23,-7.0
09/14/1991,Illinois State,25,Akron,3, 
09/14/1991,Iowa,29,Iowa State,10,-14.0
09/14/1991,Kent State,0,No Carolina State,47, 
09/14/1991,Long Beach State,14,Boise State,48, 
09/14/1991,Louisville,15,Ohio State,23,16.5
09/14/1991,Louisiana State,7,Texas A+M,45,10.5
09/14/1991,Memphis,13,East Carolina,20,4.5
09/14/1991,Mississippi,13,Auburn,23,12.0
09/14/1991,Montana,11,Louisiana Tech,21, 
09/14/1991,Navy,10,Virginia,17,27.5
09/14/1991,Notre Dame,14,Michigan,24,3.0
09/14/1991,New Mexico,13,Hawaii,35,28.0
09/14/1991,North Texas,2,Oklahoma,40, 
09/14/1991,Oregon,28,Texas Tech,13,-1.0
09/14/1991,Oregon State,9,Nevada-Las Vegas,23, 
09/14/1991,Pacific,34,San Diego State,55, 
09/14/1991,Penn State,10,Southern Cal,21,-6.0
09/14/1991,Purdue,18,California,42,15.0
09/14/1991,Rice,36,Northwestern,7,-7.0
09/14/1991,Rutgers,22,Duke,42,6.0
09/14/1991,South Carolina,16,West Virginia,21,-3.0
09/14/1991,San Jose State,20,Minnesota,26, 
09/14/1991,S-M-U,11,Vanderbilt,14,4.0
09/14/1991,Stanford,23,Arizona,28,2.0
09/14/1991,UL-Lafayette,15,Wyoming,28,9.0
09/14/1991,Syracuse,31,Maryland,17,-6.0
09/14/1991,Temple,7,Pittsburgh,26,17.0
09/14/1991,Tennessee Tech,14,Ohio,35, 
09/14/1991,Tulane,0,Mississippi State,48,14.5
09/14/1991,Tulsa,17,Kansas,23,6.0
09/14/1991,U.C.L.A.,16,Tennessee,30,6.0
09/14/1991,UTEP,22,New Mexico State,21, 
09/14/1991,Western Carolina,24,Wake Forest,40, 
09/14/1991,Western Illinois,13,Wisconsin,31, 
09/14/1991,Western Michigan,0,Florida State,58, 
09/19/1991,Virginia,21,Georgia Tech,24,12.0
09/21/1991,Akron,29,Central Michigan,31, 
09/21/1991,Arkansas State,21,Memphis,31, 
09/21/1991,Auburn,14,Texas,10,3.0
09/21/1991,Arizona State,32,Southern Cal,25,8.5
09/21/1991,Brigham Young,7,Penn State,33,13.0
09/21/1991,California,23,Arizona,21,-3.0
09/21/1991,Cincinnati,16,Bowling Green,20, 
09/21/1991,Colgate,14,Duke,42, 
09/21/1991,Colorado State,7,Southern Miss,39,7.5
09/21/1991,East Carolina,47,U-C-F,25, 
09/21/1991,Florida,21,Syracuse,38,-8.0
09/21/1991,Fresno State,24,Oregon State,20, 
09/21/1991,Georgia,0,Alabama,10,7.0
09/21/1991,Houston,10,Illinois,51,-9.0
09/21/1991,Iowa State,6,Wisconsin,7,-3.5
09/21/1991,Kent State,27,Ball State,28, 
09/21/1991,Kentucky,10,Indiana,13,10.0
09/21/1991,Louisiana Tech,17,Eastern Michigan,14, 
09/21/1991,Michigan State,10,Notre Dame,49,11.0
09/21/1991,Minnesota,0,Colorado,58,16.0
09/21/1991,Missouri,21,Baylor,47,14.5
09/21/1991,Mississippi State,24,Tennessee,26,13.0
09/21/1991,North Carolina,20,Army,12,-9.0
09/21/1991,No Carolina State,30,Wake Forest,3,-13.0
09/21/1991,Northern Illinois,17,Kansas State,34, 
09/21/1991,New Mexico State,14,Kansas,54, 
09/21/1991,Northridge State,10,Fullerton State,17, 
09/21/1991,Northwestern St(LA),0,UTEP,14, 
09/21/1991,Northwestern,18,Rutgers,22,16.0
09/21/1991,Ohio,14,Mississippi,38, 
09/21/1991,Oregon,17,Utah,24,-12.5
09/21/1991,Pacific,21,Hawaii,30, 
09/21/1991,Rice,28,Tulane,19,-6.0
09/21/1991,San Diego State,20,Air Force,21,3.0
09/21/1991,San Jose State,32,Long Beach State,20, 
09/21/1991,UL-Lafayette,7,Arkansas,9,9.0
09/21/1991,Texas Christian,24,Oklahoma State,21,-3.5
09/21/1991,Temple,7,Clemson,37,24.5
09/21/1991,Toledo,23,Western Michigan,13, 
09/21/1991,Texas Tech,17,Wyoming,22,3.5
09/21/1991,Texas A+M,34,Tulsa,35,-19.0
09/21/1991,Nevada-Las Vegas,23,New Mexico,22, 
