Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/31/1989,Notre Dame,36,Virginia,13,-19.0
09/02/1989,Akron,3,Virginia Tech,29, 
09/02/1989,Ball State,10,West Virginia,35, 
09/02/1989,Brigham Young,24,New Mexico,3,-30.0
09/02/1989,Colorado State,14,Tennessee,17,18.0
09/02/1989,Duke,21,South Carolina,27,6.0
09/02/1989,Florida State,26,Southern Miss,30, 
09/02/1989,Fullerton State,17,Northern Illinois,26, 
09/02/1989,Furman,0,Clemson,30, 
09/02/1989,Houston,69,Nevada-Las Vegas,0, 
09/02/1989,Idaho,7,Washington State,41, 
09/02/1989,Kent State,7,Eastern Michigan,30, 
09/02/1989,Louisville,28,Wyoming,21,11.0
09/02/1989,Louisiana State,16,Texas A+M,28,-2.0
09/02/1989,Louisiana Tech,40,UL-Lafayette,14, 
09/02/1989,Maryland,6,No Carolina State,10,10.0
09/02/1989,Mississippi,20,Memphis,13,1.0
09/02/1989,Montana State,17,Kansas,41, 
09/02/1989,New Mexico State,3,Oklahoma,73, 
09/02/1989,Northridge State,9,Long Beach State,28, 
09/02/1989,Ohio,18,Toledo,27, 
09/02/1989,Pacific,3,Pittsburgh,38, 
09/02/1989,Rice,35,S-M-U,6,-15.0
09/02/1989,Rutgers,17,Cincinnati,17,-18.0
09/02/1989,San Diego State,36,Air Force,52,11.0
09/02/1989,Stanford,3,Arizona,19,6.0
09/02/1989,Temple,24,Western Michigan,31,-2.0
09/02/1989,Tulane,26,Hawaii,31,13.0
09/02/1989,Tulsa,23,UTEP,14,2.0
09/02/1989,Utah,22,Fresno State,52,8.0
09/02/1989,Vanderbilt,7,Mississippi State,42,4.0
09/04/1989,Illinois,14,Southern Cal,13,14.0
09/04/1989,Texas,6,Colorado,27,10.0
09/07/1989,Washington State,46,Brigham Young,41,7.0
09/09/1989,Arkansas State,17,Memphis,13, 
09/09/1989,Appalachian State,15,Wake Forest,10, 
09/09/1989,Arizona,14,Texas Tech,24,-7.0
09/09/1989,Ball State,31,Rutgers,31, 
09/09/1989,Baylor,7,Oklahoma,33,18.0
09/09/1989,Bowling Green,6,East Carolina,41, 
09/09/1989,California,19,Oregon,35,7.0
09/09/1989,Clemson,34,Florida State,23,6.0
09/09/1989,Central Michigan,20,UL-Lafayette,22, 
09/09/1989,Colorado State,20,Colorado,45,18.0
09/09/1989,Georgia Tech,28,No Carolina State,38,10.0
09/09/1989,Indiana,14,Kentucky,17,5.0
09/09/1989,Kent State,7,Akron,40, 
09/09/1989,Kansas State,0,Arizona State,31,26.0
09/09/1989,Lamar,21,UTEP,19, 
09/09/1989,Long Beach State,10,Hawaii,63, 
09/09/1989,Louisville,33,Kansas,28,-15.0
09/09/1989,Louisiana Tech,20,Western Michigan,24, 
09/09/1989,Miami-Florida,51,Wisconsin,3,-31.0
09/09/1989,Miami-Ohio,10,Purdue,27, 
09/09/1989,Mississippi,24,Florida,19,9.0
09/09/1989,Montana,37,Fresno State,52, 
09/09/1989,Mississippi State,26,Southern Miss,23,7.0
09/09/1989,Northern Illinois,17,Nebraska,48, 
09/09/1989,New Mexico State,13,New Mexico,45, 
09/09/1989,Northridge State,20,Fullerton State,27, 
09/09/1989,Northwestern,31,Duke,41,19.0
09/09/1989,Ohio,3,Iowa State,28, 
09/09/1989,Oklahoma State,10,Tulsa,20,-8.0
09/09/1989,Pacific,0,Auburn,55, 
09/09/1989,Pittsburgh,29,Boston College,10,-4.0
09/09/1989,Rice,19,Tulane,20,6.0
09/09/1989,Stanford,16,Oregon State,20,-4.0
09/09/1989,Syracuse,43,Temple,3,-15.0
09/09/1989,Texas Christian,10,Missouri,14,10.0
09/09/1989,Tennessee,24,U.C.L.A.,6,15.0
09/09/1989,Texas A+M,6,Washington,19,1.0
09/09/1989,Utah State,10,Utah,45, 
09/09/1989,Virginia,14,Penn State,6,10.0
09/09/1989,Virginia Military,7,North Carolina,49, 
09/09/1989,Virginia Tech,17,South Carolina,17,10.0
09/09/1989,Weber State,12,Nevada-Las Vegas,16, 
09/09/1989,West Virginia,14,Maryland,10,-8.0
09/09/1989,Youngstown State,3,Eastern Michigan,14, 
09/10/1989,Wyoming,7,Air Force,45,3.0
09/16/1989,Air Force,48,Northwestern,31,-13.0
09/16/1989,Akron,27,Central Michigan,26, 
09/16/1989,Arkansas State,31,Mississippi,34, 
09/16/1989,Army,7,Syracuse,10,16.0
09/16/1989,Ball State,28,Bowling Green,3, 
09/16/1989,Baylor,3,Georgia,15,11.0
09/16/1989,Boston College,7,Rutgers,9,-2.0
09/16/1989,Brigham Young,31,Navy,10,-12.0
09/16/1989,California,3,Miami-Florida,31,29.0
09/16/1989,Clemson,27,Virginia Tech,7,-11.0
09/16/1989,Connecticut,30,S-M-U,31, 
09/16/1989,Duke,6,Tennessee,28,8.0
09/16/1989,East Carolina,21,Cincinnati,14,-10.0
09/16/1989,Eastern Michigan,30,Ohio,25, 
09/16/1989,Fresno State,27,Pacific,14, 
09/16/1989,Florida State,31,Louisiana State,21,1.0
09/16/1989,Fullerton State,14,Colorado State,42, 
09/16/1989,Hawaii,15,Wyoming,20,2.0
09/16/1989,Illinois,7,Colorado,38,4.0
09/16/1989,Kent State,21,Kansas,28, 
09/16/1989,Long Beach State,17,Boise State,14, 
09/16/1989,Louisiana Tech,7,Florida,34, 
09/16/1989,Memphis,7,Alabama,35,19.0
09/16/1989,Miami-Ohio,0,Michigan State,49, 
09/16/1989,Minnesota,30,Iowa State,20,2.0
09/16/1989,Missouri,7,Indiana,24,7.0
09/16/1989,North Carolina,6,Kentucky,13,10.0
09/16/1989,No Carolina State,27,Wake Forest,17,-7.0
09/16/1989,Notre Dame,24,Michigan,19,1.0
09/16/1989,New Mexico,20,Texas Tech,27,24.0
09/16/1989,Northern Iowa,10,Kansas State,8, 
09/16/1989,Oklahoma,3,Arizona,6,-8.0
09/16/1989,Oklahoma State,13,Ohio State,37,7.0
09/16/1989,Oregon,44,Iowa,6,3.0
09/16/1989,Oregon State,3,Washington State,41,10.0
09/16/1989,Purdue,9,Washington,38,22.0
09/16/1989,South Carolina,21,West Virginia,45,8.0
09/16/1989,San Jose State,21,Arizona State,28, 
09/16/1989,Southern Miss,3,Auburn,24,17.0
09/16/1989,UL-Lafayette,10,Tulane,17,1.0
09/16/1989,Temple,3,Penn State,42,21.0
09/16/1989,Toledo,10,Wisconsin,23, 
09/16/1989,Tulsa,7,Arkansas,26,13.0
09/16/1989,Texas A+M,44,Texas Christian,7,-11.0
09/16/1989,U.C.L.A.,28,San Diego State,25,-19.0
09/16/1989,Utah,30,Nebraska,42,29.0
09/16/1989,UTEP,29,New Mexico State,27,-21.0
09/16/1989,Utah State,10,Southern Cal,66, 
09/16/1989,Virginia,17,Georgia Tech,10,-7.0
09/16/1989,Western Michigan,0,Maryland,23, 
09/23/1989,Akron,17,Youngstown State,20, 
09/23/1989,Arkansas,24,Mississippi,17,-8.0
09/23/1989,Ball State,22,Toledo,29, 
09/23/1989,Boston College,3,Penn State,7,9.0
09/23/1989,Cincinnati,30,Miami-Ohio,14,-8.0
09/23/1989,The Citadel,14,Navy,10, 
09/23/1989,Central Michigan,20,Bowling Green,24, 
09/23/1989,Duke,28,Virginia,49,8.0
09/23/1989,Eastern Michigan,35,Colorado State,35, 
09/23/1989,Florida,38,Memphis,13,-11.0
09/23/1989,Fullerton State,41,San Diego State,41, 
09/23/1989,Georgia Tech,10,South Carolina,21,7.0
09/23/1989,Houston,36,Arizona State,7,-9.0
09/23/1989,Illinois State,10,East Carolina,56, 
09/23/1989,Iowa,31,Iowa State,21,-6.0
09/23/1989,Kansas,3,Baylor,46,21.0
09/23/1989,Kentucky,3,Alabama,15,11.0
09/23/1989,Long Beach State,0,Fresno State,52, 
09/23/1989,Michigan State,13,Notre Dame,21,17.0
09/23/1989,Maryland,7,Clemson,31,17.0
09/23/1989,Miami-Florida,38,Missouri,7,-23.0
09/23/1989,Michigan,24,U.C.L.A.,23,-6.0
