Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/13/1986,Miami-Ohio,7,San Jose State,37,8.0,California Bowl
12/20/1986,Mississippi,20,Texas Tech,17,-4.0,Independence Bowl
12/23/1986,Boston College,27,Georgia,24,2.5,Hall of Fame Bowl
12/25/1986,Alabama,28,Washington,6,-2.0,Sun Bowl
12/27/1986,Arizona,30,North Carolina,21,-9.0,Aloha Bowl
12/27/1986,Clemson,27,Stanford,21,-3.5,Gator Bowl
12/29/1986,Minnesota,14,Tennessee,21,5.5,Liberty Bowl
12/30/1986,Brigham Young,10,U.C.L.A.,31,14.5,Freedom Bowl
12/30/1986,Iowa,39,San Diego State,38,-7.5,Holiday Bowl
12/31/1986,Baylor,21,Colorado,9,-5.5,Bluebonnet Bowl
12/31/1986,Florida State,27,Indiana,13,-14.0,All-American Bowl
12/31/1986,No Carolina State,24,Virginia Tech,25,-2.0,Peach Bowl
01/01/1987,Arkansas,8,Oklahoma,42,17.0,Orange Bowl
01/01/1987,Auburn,16,Southern Cal,7,-8.0,Citrus Bowl
01/01/1987,Arizona State,22,Michigan,15,2.5,Rose Bowl
01/01/1987,Louisiana State,15,Nebraska,30,4.5,Sugar Bowl
01/01/1987,Ohio State,28,Texas A+M,12,2.5,Cotton Bowl
01/02/1987,Miami-Florida,10,Penn State,14,-6.5,Fiesta Bowl
