Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/14/1991,Bowling Green,28,Fresno State,21,15.0,California Bowl
12/25/1991,Georgia Tech,18,Stanford,17,3.5,Aloha Bowl
12/28/1991,Alabama,30,Colorado,25,0.0,Blockbuster Bowl
12/29/1991,Air Force,38,Mississippi State,15,10.0,Liberty Bowl
12/29/1991,Arkansas,15,Georgia,24,8.0,Independence Bowl
12/29/1991,Oklahoma,48,Virginia,14,1.5,Gator Bowl
12/30/1991,Brigham Young,13,Iowa,13,4.0,Holiday Bowl
12/30/1991,San Diego State,17,Tulsa,28,-1.0,Freedom Bowl
12/31/1991,Baylor,0,Indiana,24,-3.5,Copper Bowl
12/31/1991,Illinois,3,U.C.L.A.,6,7.0,Sun Bowl
01/01/1992,California,37,Clemson,13,-1.5,Citrus Bowl
01/01/1992,East Carolina,37,No Carolina State,34,-2.0,Peach Bowl
01/01/1992,Florida,28,Notre Dame,39,-6.0,Sugar Bowl
01/01/1992,Florida State,10,Texas A+M,2,-7.0,Cotton Bowl
01/01/1992,Michigan,14,Washington,34,7.0,Rose Bowl
01/01/1992,Nebraska,0,Miami-Florida,22,10.0,Orange Bowl
01/01/1992,Ohio State,17,Syracuse,24,3.0,Hall of Fame Bowl
01/01/1992,Penn State,42,Tennessee,17,-3.5,Fiesta Bowl
