Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/16/2003,North Texas,17,Memphis,27,4.0,New Orleans Bowl
12/18/2003,Miami-Ohio,49,Louisville,28,-14.0,GMAC Bowl
12/22/2003,No Carolina State,56,Kansas,26,-11.0,Tangerine Bowl
12/23/2003,Texas Christian,31,Boise State,34,11.5,Fort Worth Bowl
12/24/2003,New Mexico,14,Oregon State,55,2.5,Las Vegas Bowl
12/25/2003,Houston,48,Hawaii,54,10.5,Hawaii Bowl
12/26/2003,Bowling Green,28,Northwestern,24,-6.0,Motor City Bowl
12/26/2003,Virginia Tech,49,California,52,-3.0,Insight Bowl
12/27/2003,Pittsburgh,16,Virginia,23,3.0,Continental Tire Bowl
12/29/2003,Michigan State,3,Nebraska,17,3.5,Alamo Bowl
12/30/2003,Navy,14,Texas Tech,38,10.0,Houston Bowl
12/30/2003,Texas,20,Washington State,28,-9.5,Holiday Bowl
12/30/2003,U.C.L.A.,9,Fresno State,17,-3.0,Silicon Valley Bowl
12/31/2003,Wisconsin,14,Auburn,28,3.0,Music City Bowl
12/31/2003,Minnesota,31,Oregon,30,-5.0,Sun Bowl
12/31/2003,Utah,17,Southern Miss,0,-2.5,Liberty Bowl
12/31/2003,Arkansas,27,Missouri,14,-3.5,Independence Bowl
12/31/2003,Colorado State,21,Boston College,35,1.0,San Francisco Bowl
01/01/2004,Florida,17,Iowa,37,-4.0,Outback Bowl
01/01/2004,West Virginia,7,Maryland,41,4.5,Gator Bowl
01/01/2004,Purdue,27,Georgia,34,3.5,Capital One Bowl
01/01/2004,Michigan,14,Southern Cal,28,7.0,Rose Bowl
01/01/2004,Florida State,14,Miami-Florida,16,-2.0,Orange Bowl
01/02/2004,Oklahoma State,28,Mississippi,31,3.0,Cotton Bowl
01/02/2004,Clemson,27,Tennessee,14,4.5,Peach Bowl
01/02/2004,Ohio State,35,Kansas State,28,7.0,Fiesta Bowl
01/03/2004,Georgia Tech,52,Tulsa,10,-7.5,Humanitarian Bowl
01/04/2004,Louisiana State,21,Oklahoma,14,6.0,Sugar Bowl
