Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/26/1995,Virginia,17,Michigan,18,8.0
08/27/1995,Boston College,6,Ohio State,38,3.0
08/31/1995,Appalachian State,24,Wake Forest,22, 
08/31/1995,Ball State,17,Miami-Ohio,15, 
08/31/1995,Eastern Kentucky,32,U-C-F,40, 
08/31/1995,Louisiana Tech,28,Bowling Green,21, 
08/31/1995,Marshall,16,No Carolina State,33, 
08/31/1995,Nebraska,64,Oklahoma State,21,-27.0
08/31/1995,Northern Illinois,13,Southern Miss,45, 
08/31/1995,Ohio,21,Iowa State,36, 
08/31/1995,Weber State,21,Western Michigan,28, 
09/02/1995,Alabama,33,Vanderbilt,25,-14.0
09/02/1995,Arkansas,14,S-M-U,17,-7.0
09/02/1995,Arizona State,20,Washington,23,12.0
09/02/1995,Baylor,37,Tulsa,5,-10.0
09/02/1995,Brigham Young,12,Air Force,38,-4.0
09/02/1995,California,9,San Diego State,33,-5.0
09/02/1995,Cincinnati,18,Kansas,23,15.5
09/02/1995,Colorado,43,Wisconsin,7,-2.0
09/02/1995,Duke,26,Florida State,70,25.5
09/02/1995,East Carolina,7,Tennessee,27,16.0
09/02/1995,Eastern Michigan,49,Akron,29, 
09/02/1995,Furman,7,Georgia Tech,51, 
09/02/1995,Houston,21,Florida,45,46.0
09/02/1995,Idaho,7,Oregon State,14, 
09/02/1995,Louisville,13,Kentucky,10,-5.0
09/02/1995,Louisiana State,17,Texas A+M,33,15.5
09/02/1995,Maryland,29,Tulane,10,-8.0
09/02/1995,Memphis,18,Mississippi State,28,11.5
09/02/1995,Miami-Florida,8,U.C.L.A.,31,-4.5
09/02/1995,Michigan,38,Illinois,14,-1.0
09/02/1995,Mississippi,13,Auburn,46,17.0
09/02/1995,Montana State,10,Colorado State,31, 
09/02/1995,UL-Monroe,17,Fresno State,31,19.0
09/02/1995,Northern Arizona,21,New Mexico,45, 
09/02/1995,North Texas,7,Missouri,28,18.5
09/02/1995,Northwestern,17,Notre Dame,15,27.0
09/02/1995,Oregon,27,Utah,20,-7.0
09/02/1995,Pacific,9,Arizona,41, 
09/02/1995,Purdue,26,West Virginia,24,10.0
09/02/1995,South Carolina,23,Georgia,42,3.5
09/02/1995,Stanford,47,San Jose State,33, 
09/02/1995,UL-Lafayette,14,Nevada-Reno,38, 
09/02/1995,Syracuse,20,North Carolina,9,6.5
09/02/1995,Temple,7,Kansas State,34,23.0
09/02/1995,Texas,38,Hawaii,17,-11.0
09/02/1995,Nevada-Las Vegas,0,Rice,38, 
09/02/1995,UTEP,17,New Mexico State,45, 
09/02/1995,Utah State,17,Arkansas State,21, 
09/02/1995,Washington State,13,Pittsburgh,17,-3.0
09/02/1995,Western Carolina,9,Clemson,55, 
09/02/1995,William + Mary,16,Virginia,40, 
09/02/1995,Youngstown State,14,Kent State,17, 
09/07/1995,Boston College,20,Virginia Tech,14,2.5
09/07/1995,Georgia Tech,19,Arizona,20,14.0
09/09/1995,Arkansas State,23,Nevada-Las Vegas,28, 
09/09/1995,Boise State,38,Utah State,14, 
09/09/1995,Bowling Green,17,Missouri,10, 
09/09/1995,Chattanooga,10,Auburn,76, 
09/09/1995,Colorado State,14,Colorado,42,18.0
09/09/1995,East Carolina,27,Syracuse,24,6.0
09/09/1995,Eastern Michigan,30,Pittsburgh,66, 
09/09/1995,East Tennessee St,20,Toledo,41, 
09/09/1995,Florida,42,Kentucky,7,-27.0
09/09/1995,Florida A+M,3,Miami-Florida,49, 
09/09/1995,Fresno State,25,California,24,5.5
09/09/1995,Florida State,45,Clemson,26,-20.5
09/09/1995,Georgia,27,Tennessee,30,12.5
09/09/1995,Iowa State,10,Texas Christian,27,14.5
09/09/1995,Illinois,31,Oregon,34,3.5
09/09/1995,Illinois State,6,Ohio,14, 
09/09/1995,Indiana State,10,Mississippi,56, 
09/09/1995,Kansas,27,North Texas,10,-19.5
09/09/1995,Kansas State,23,Cincinnati,21,-13.0
09/09/1995,Lehigh,9,Army,42, 
09/09/1995,Louisville,34,Northern Illinois,21, 
09/09/1995,Louisiana State,34,Mississippi State,16,5.0
09/09/1995,Louisiana Tech,19,Houston,7, 
09/09/1995,Memphis,7,Michigan,24,20.5
09/09/1995,Miami-Ohio,39,Kent State,0, 
09/09/1995,Montana,21,Washington State,38, 
09/09/1995,Navy,33,S-M-U,2,13.0
09/09/1995,North Carolina,18,Maryland,32,-9.0
09/09/1995,Notre Dame,35,Purdue,28,-9.0
09/09/1995,Nebraska,50,Michigan State,10,-18.0
09/09/1995,Nevada-Reno,45,New Mexico State,24, 
09/09/1995,Nicholls State,21,UL-Monroe,34, 
09/09/1995,Northern Iowa,13,Iowa,34, 
09/09/1995,Oklahoma State,23,Tulsa,24,-2.0
09/09/1995,Oregon State,10,Pacific,23, 
09/09/1995,Rutgers,14,Duke,24,4.5
09/09/1995,South Carolina,21,Arkansas,51,2.0
09/09/1995,San Diego State,22,Oklahoma,38,13.0
09/09/1995,San Jose State,7,Southern Cal,45, 
09/09/1995,Southern Miss,20,Alabama,24,14.0
09/09/1995,Stanford,27,Utah,20,-2.5
09/09/1995,Temple,13,West Virginia,24,23.0
09/09/1995,Tennessee Tech,14,Marshall,45, 
09/09/1995,Texas Tech,23,Penn State,24,21.0
09/09/1995,U-A-B,21,UL-Lafayette,56, 
09/09/1995,U.C.L.A.,23,Brigham Young,9,-10.5
09/09/1995,UTEP,20,Arizona State,45,25.0
09/09/1995,Virginia,29,No Carolina State,24,-5.5
09/09/1995,Weber State,31,Central Michigan,39, 
09/09/1995,Wake Forest,9,Tulane,35,1.0
09/09/1995,Western Illinois,7,Ball State,20, 
09/09/1995,Western Michigan,10,Indiana,24, 
09/09/1995,Wyoming,10,Air Force,34,10.0
09/14/1995,Texas Christian,20,Kansas,38,3.5
09/14/1995,Toledo,31,Western Michigan,21, 
09/16/1995,Akron,12,Bowling Green,50, 
09/16/1995,Arizona,7,Illinois,9,3.0
09/16/1995,Arkansas,20,Alabama,19,7.5
09/16/1995,Auburn,6,Louisiana State,12,-6.5
09/16/1995,Arizona State,28,Nebraska,77,27.5
09/16/1995,Ball State,7,Minnesota,31, 
09/16/1995,Cincinnati,16,Virginia Tech,0,14.5
09/16/1995,Clemson,29,Wake Forest,14,-19.5
09/16/1995,Central Michigan,17,East Carolina,30, 
09/16/1995,Colorado State,27,Air Force,20,6.5
09/16/1995,Duke,23,Army,21,-9.5
09/16/1995,Georgia Southern,7,Marshall,37, 
09/16/1995,Georgia Tech,14,Virginia,41,14.5
09/16/1995,Hawaii,6,Wyoming,52,7.5
09/16/1995,Houston,10,Southern Cal,45,36.5
09/16/1995,Iowa,27,Iowa State,10,-12.5
09/16/1995,Kent State,28,Ohio,28, 
09/16/1995,Kentucky,17,Indiana,10,14.0
09/16/1995,Louisiana Tech,21,South Carolina,68, 
09/16/1995,Michigan State,30,Louisville,7,2.0
09/16/1995,Miami-Ohio,30,Northwestern,28, 
09/16/1995,Michigan,23,Boston College,13,-6.5
09/16/1995,Missouri,14,Texas Tech,41,13.5
09/16/1995,Mississippi State,30,Baylor,21,6.0
09/16/1995,Navy,17,Rutgers,27,14.5
09/16/1995,No Carolina State,17,Florida State,77,27.0
09/16/1995,UL-Monroe,14,Colorado,66,38.5
09/16/1995,Northern Illinois,18,San Jose State,17, 
09/16/1995,New Mexico State,13,Georgia,40, 
09/16/1995,Oregon,38,U.C.L.A.,31,5.0
09/16/1995,Oregon State,27,North Texas,30,-14.0
09/16/1995,Pacific,24,Fresno State,56, 
09/16/1995,Pittsburgh,27,Texas,38,11.0
09/16/1995,San Diego State,19,Brigham Young,31,3.5
09/16/1995,Southern Illinois,9,Arkansas State,14, 
09/16/1995,Southern Miss,24,Utah State,21, 
09/16/1995,S-M-U,10,Oklahoma,24,28.5
09/16/1995,Sonoma State,3,Idaho,66, 
09/16/1995,UL-Lafayette,19,Memphis,33, 
09/16/1995,Missouri State,7,Oklahoma State,35, 
09/16/1995,Temple,14,Penn State,66,33.0
09/16/1995,Tennessee,37,Florida,62,8.0
09/16/1995,Tulane,17,Rice,15,17.5
09/16/1995,Tulsa,9,Texas A+M,52,29.0
09/16/1995,Nevada-Las Vegas,6,Eastern Michigan,51, 
09/16/1995,Utah,36,New Mexico,9,3.0
09/16/1995,Valdosta State,24,UTEP,34, 
09/16/1995,Vanderbilt,0,Notre Dame,41,19.0
09/16/1995,Washington,20,Ohio State,30,7.5
09/16/1995,Wisconsin,24,Stanford,24,-3.0
09/16/1995,West Virginia,17,Maryland,31,-3.0
09/21/1995,North Carolina,17,Louisville,10,-4.5
09/23/1995,Air Force,6,Northwestern,30,-3.0
09/23/1995,Akron,0,Kansas State,67, 
09/23/1995,Arkansas State,25,Louisiana Tech,28, 
09/23/1995,Army,13,Washington,21,26.5
09/23/1995,Baylor,14,No Carolina State,0,1.0
09/23/1995,Bowling Green,16,Central Michigan,22, 
09/23/1995,U-C-F,14,Florida State,46, 
