Date,Visitor,Visitor Score,Home Team,Home Score,Line
12/19/2009,Wyoming,35,Fresno State,28,10.0
12/19/2009,U-C-F,24,Rutgers,45,3.0
12/20/2009,Middle Tennessee,42,Southern Miss,32,3.5
12/22/2009,Brigham Young,44,Oregon State,20,3.0
12/23/2009,Utah,37,California,27,3.0
12/24/2009,S-M-U,45,Nevada-Reno,10,11.0
12/26/2009,Ohio,17,Marshall,21,-3.0
12/26/2009,North Carolina,17,Pittsburgh,19,1.0
12/26/2009,Boston College,13,Southern Cal,24,7.0
12/27/2009,Kentucky,13,Clemson,21,6.5
12/28/2009,Texas A+M,20,Georgia,44,6.5
12/29/2009,U.C.L.A.,30,Temple,21,-4.5
12/29/2009,Wisconsin,20,Miami-Florida,14,3.5
12/30/2009,Bowling Green,42,Idaho,43,1.0
12/30/2009,Nebraska,33,Arizona,0,-2.5
12/31/2009,Navy,35,Missouri,13,7.0
12/31/2009,Air Force,47,Houston,20,4.5
12/31/2009,Stanford,27,Oklahoma,31,10.5
12/31/2009,Iowa State,14,Minnesota,13,1.5
12/31/2009,Tennessee,14,Virginia Tech,37,4.5
01/01/2010,Northwestern,35,Auburn,38,9.0
01/01/2010,Florida State,33,West Virginia,21,3.0
01/01/2010,Louisiana State,17,Penn State,19,-1.5
01/01/2010,Ohio State,26,Oregon,17,5.0
01/01/2010,Cincinnati,24,Florida,51,12.5
01/02/2010,Northern Illinois,3,South Florida,27,6.5
01/02/2010,Connecticut,20,South Carolina,7,3.5
01/02/2010,Mississippi,21,Oklahoma State,7,-3.0
01/02/2010,Arkansas,20,East Carolina,17,-7.5
01/02/2010,Michigan State,31,Texas Tech,41,7.5
01/04/2010,Boise State,17,Texas Christian,10,7.0
01/05/2010,Iowa,24,Georgia Tech,14,5.5
01/06/2010,Troy,41,Central Michigan,44,3.5
01/07/2010,Texas,21,Alabama,37,4.0
