Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/19/1998,North Carolina,20,San Diego State,13,-7.0,Las Vegas Bowl
12/23/1998,Louisville,29,Marshall,48,-3.5,Motor City Bowl
12/25/1998,Colorado,51,Oregon,43,5.5,Aloha Bowl
12/25/1998,Air Force,45,Washington,25,-3.5,Oahu Bowl
12/26/1998,West Virginia,31,Missouri,34,3.5,Insight Bowl
12/29/1998,Alabama,7,Virginia Tech,38,5.0,Music City Bowl
12/29/1998,No Carolina State,23,Miami-Florida,46,7.0,Micron PC Bowl
12/29/1998,Kansas State,34,Purdue,37,-12.5,Alamo Bowl
12/30/1998,Southern Miss,35,Idaho,42,-15.5,Humanitarian Bowl
12/30/1998,Arizona,23,Nebraska,20,3.0,Holiday Bowl
12/31/1998,Brigham Young,27,Tulane,41,7.0,Liberty Bowl
12/31/1998,Texas Christian,28,Southern Cal,19,16.0,Sun Bowl
12/31/1998,Georgia,35,Virginia,33,2.0,Peach Bowl
12/31/1998,Texas Tech,18,Mississippi,35,-9.5,Independence Bowl
01/01/1999,Penn State,26,Kentucky,14,-6.5,Outback Bowl
01/01/1999,Notre Dame,28,Georgia Tech,35,1.5,Gator Bowl
01/01/1999,Michigan,45,Arkansas,31,-3.0,Citrus Bowl
01/01/1999,Texas,38,Mississippi State,11,-6.5,Cotton Bowl
01/01/1999,U.C.L.A.,31,Wisconsin,38,-9.5,Rose Bowl
01/01/1999,Ohio State,24,Texas A+M,14,-12.5,Sugar Bowl
01/02/1999,Syracuse,10,Florida,31,7.5,Orange Bowl
01/04/1999,Florida State,16,Tennessee,23,-5.0,Fiesta Bowl
