Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/10/1988,Western Michigan,30,Fresno State,35, ,California Bowl
12/23/1988,Southern Miss,38,UTEP,18,1.0,Independence Bowl
12/24/1988,Alabama,29,Army,28,-14.0,Sun Bowl
12/25/1988,Houston,22,Washington State,24,-4.5,Aloha Bowl
12/28/1988,Indiana,34,South Carolina,10,-3.0,Liberty Bowl
12/29/1988,Brigham Young,20,Colorado,17,3.0,Freedom Bowl
12/29/1988,Florida,14,Illinois,10,-5.5,All-American Bowl
12/30/1988,Oklahoma State,62,Wyoming,14,-2.5,Holiday Bowl
12/31/1988,Iowa,23,No Carolina State,28,1.0,Peach Bowl
01/01/1989,Georgia,34,Michigan State,27,8.5,Gator Bowl
01/02/1989,Arkansas,3,U.C.L.A.,17,6.0,Cotton Bowl
01/02/1989,Auburn,7,Florida State,13,5.5,Sugar Bowl
01/02/1989,Clemson,13,Oklahoma,6,-1.0,Citrus Bowl
01/02/1989,Louisiana State,10,Syracuse,23,2.0,Hall of Fame Bowl
01/02/1989,Michigan,22,Southern Cal,14,6.5,Rose Bowl
01/02/1989,Notre Dame,34,West Virginia,21,-5.0,Fiesta Bowl
01/02/1989,Nebraska,3,Miami-Florida,23,6.5,Orange Bowl
