Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/10/1983,Air Force,9,Mississippi,3,-3.5,Independence Bowl
12/17/1983,Maryland,23,Tennessee,30,-3.5,Citrus Bowl
12/17/1983,Northern Illinois,20,Fullerton State,13, ,California Bowl
12/22/1983,Kentucky,16,West Virginia,20,10.5,Hall of Fame Bowl
12/23/1983,Brigham Young,21,Missouri,17,-2.5,Holiday Bowl
12/24/1983,Alabama,28,S-M-U,7,4.0,Sun Bowl
12/26/1983,Penn State,13,Washington,10,-1.5,Aloha Bowl
12/29/1983,Boston College,18,Notre Dame,19,-2.0,Liberty Bowl
12/30/1983,Florida,14,Iowa,6,-3.5,Gator Bowl
12/30/1983,Florida State,28,North Carolina,3,-3.0,Peach Bowl
12/31/1983,Baylor,14,Oklahoma State,24,1.0,Bluebonnet Bowl
01/02/1984,Auburn,9,Michigan,7,-4.0,Sugar Bowl
01/02/1984,Georgia,10,Texas,9,7.5,Cotton Bowl
01/02/1984,Illinois,9,U.C.L.A.,45,-4.0,Rose Bowl
01/02/1984,Nebraska,30,Miami-Florida,31,-10.5,Orange Bowl
01/02/1984,Ohio State,28,Pittsburgh,23,-2.5,Fiesta Bowl
