Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/20/1997,Oregon,41,Air Force,13,-3.5,Las Vegas Bowl
12/25/1997,Michigan State,23,Washington,51,5.0,Aloha Bowl
12/26/1997,Mississippi,34,Marshall,31,-3.0,Motor City Bowl
12/27/1997,Arizona,20,New Mexico,14,-9.5,Insight Bowl
12/28/1997,Notre Dame,9,Louisiana State,27,7.0,Independence Bowl
12/29/1997,Cincinnati,35,Utah State,19,-6.0,Humanitarian Bowl
12/29/1997,Georgia Tech,35,West Virginia,30,-1.0,Carquest Bowl
12/29/1997,Missouri,24,Colorado State,35,6.0,Holiday Bowl
12/30/1997,Purdue,33,Oklahoma State,20,-3.0,Alamo Bowl
12/31/1997,Iowa,7,Arizona State,17,-2.0,Sun Bowl
12/31/1997,Pittsburgh,7,Southern Miss,41,8.5,Liberty Bowl
12/31/1997,Kansas State,35,Syracuse,18,-3.5,Fiesta Bowl
01/01/1998,Wisconsin,6,Georgia,33,8.5,Outback Bowl
01/01/1998,Virginia Tech,3,North Carolina,42,12.5,Gator Bowl
01/01/1998,Penn State,6,Florida,21,10.0,Citrus Bowl
01/01/1998,U.C.L.A.,29,Texas A+M,23,-10.0,Cotton Bowl
01/01/1998,Michigan,21,Washington State,16,-8.0,Rose Bowl
01/01/1998,Ohio State,14,Florida State,31,7.0,Sugar Bowl
01/02/1998,Auburn,21,Clemson,17,-7.0,Peach Bowl
01/02/1998,Tennessee,17,Nebraska,42,7.5,Orange Bowl
