Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/12/1987,Eastern Michigan,30,San Jose State,27, ,California Bowl
12/19/1987,Tulane,12,Washington,24,6.0,Independence Bowl
12/22/1987,Brigham Young,16,Virginia,22,-1.0,All-American Bowl
12/25/1987,Florida,16,U.C.L.A.,20,8.5,Aloha Bowl
12/25/1987,Oklahoma State,35,West Virginia,33,0.0,Sun Bowl
12/29/1987,Arkansas,17,Georgia,20,7.0,Liberty Bowl
12/30/1987,Air Force,28,Arizona State,33,6.5,Freedom Bowl
12/30/1987,Iowa,20,Wyoming,19,-4.0,Holiday Bowl
12/31/1987,Louisiana State,30,South Carolina,13,3.5,Gator Bowl
12/31/1987,Pittsburgh,27,Texas,32,-4.0,Bluebonnet Bowl
01/01/1988,Auburn,16,Syracuse,16,-2.5,Sugar Bowl
01/01/1988,Clemson,35,Penn State,10,-2.0,Citrus Bowl
01/01/1988,Florida State,31,Nebraska,28,-3.5,Fiesta Bowl
01/01/1988,Michigan State,20,Southern Cal,17,3.0,Rose Bowl
01/01/1988,Notre Dame,10,Texas A+M,35,-5.5,Cotton Bowl
01/01/1988,Oklahoma,14,Miami-Florida,20,-3.0,Orange Bowl
01/02/1988,Alabama,24,Michigan,28,-1.0,Hall of Fame Bowl
01/02/1988,Indiana,22,Tennessee,27,6.5,Peach Bowl
