Date,Visitor,Visitor Score,Home Team,Home Score,Line
12/15/2012,Nevada-Reno,48,Arizona,49,8.0
12/15/2012,Toledo,15,Utah State,41,10.5
12/20/2012,Brigham Young,23,San Diego State,6,-3.0
12/21/2012,Ball State,17,U-C-F,38,7.0
12/22/2012,East Carolina,34,UL-Lafayette,43,6.5
12/22/2012,Washington,26,Boise State,28,4.0
12/24/2012,S-M-U,43,Fresno State,10,13.5
12/26/2012,Central Michigan,24,Western Kentucky,21,6.5
12/27/2012,Bowling Green,20,San Jose State,29,7.0
12/27/2012,Cincinnati,48,Duke,34,-9.0
12/27/2012,Baylor,49,U.C.L.A.,26,3.0
12/28/2012,Ohio,45,UL-Monroe,14,7.0
12/28/2012,Rutgers,10,Virginia Tech,13,0.0
12/28/2012,Minnesota,31,Texas Tech,34,13.0
12/29/2012,Air Force,14,Rice,33,1.0
12/29/2012,Navy,28,Arizona State,62,12.5
12/29/2012,West Virginia,14,Syracuse,38,-4.5
12/29/2012,Oregon State,27,Texas,31,-3.0
12/29/2012,Texas Christian,16,Michigan State,17,-2.0
12/31/2012,No Carolina State,24,Vanderbilt,38,7.5
12/31/2012,Georgia Tech,21,Southern Cal,7,7.5
12/31/2012,Iowa State,17,Tulsa,31,-1.0
12/31/2012,Clemson,25,Louisiana State,24,6.0
01/01/2013,Purdue,14,Oklahoma State,58,17.5
01/01/2013,Northwestern,34,Mississippi State,20,-1.5
01/01/2013,Michigan,28,South Carolina,33,5.5
01/01/2013,Nebraska,31,Georgia,45,9.5
01/01/2013,Wisconsin,14,Stanford,20,4.0
01/01/2013,Northern Illinois,10,Florida State,31,14.0
01/02/2013,Louisville,33,Florida,23,14.5
01/03/2013,Kansas State,17,Oregon,35,8.0
01/04/2013,Texas A+M,41,Oklahoma,13,-3.0
01/05/2013,Pittsburgh,17,Mississippi,38,4.5
01/06/2013,Arkansas State,17,Kent State,13,-2.5
01/07/2013,Alabama,42,Notre Dame,14,-9.5
