Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/26/1992,Stanford,7,Texas A+M,10,3.5
08/29/1992,Iowa,14,No Carolina State,24,-6.0
09/03/1992,Oklahoma,34,Texas Tech,9,-9.0
09/03/1992,Western Michigan,19,Bowling Green,29,7.0
09/05/1992,Akron,27,Eastern Michigan,9,4.0
09/05/1992,Arkansas State,0,Toledo,49, 
09/05/1992,Appalachian State,10,No Carolina State,35, 
09/05/1992,Auburn,21,Mississippi,45,-5.0
09/05/1992,Ball State,10,Clemson,24,25.5
09/05/1992,Brigham Young,38,UTEP,28,-11.5
09/05/1992,The Citadel,10,Arkansas,3, 
09/05/1992,Central Michigan,14,Kentucky,21,13.0
09/05/1992,Colorado State,17,Colorado,37,24.0
09/05/1992,Duke,21,Florida State,48,32.0
09/05/1992,Fresno State,42,Pacific,21, 
09/05/1992,Georgia,28,South Carolina,6,-8.5
09/05/1992,Hawaii,24,Oregon,21,10.5
09/05/1992,Houston,25,Tulsa,28,-2.0
09/05/1992,Indiana State,3,Oklahoma State,35, 
09/05/1992,Iowa,7,Miami-Florida,24,13.5
09/05/1992,James Madison,20,Virginia Tech,49, 
09/05/1992,Kansas,49,Oregon State,20,-13.0
09/05/1992,Kent State,10,Pittsburgh,51,33.0
09/05/1992,Louisville,19,Ohio State,20,16.5
09/05/1992,Louisiana Tech,10,Baylor,9,9.5
09/05/1992,Maryland,15,Virginia,28,13.5
09/05/1992,Memphis,21,Southern Miss,23,-8.0
09/05/1992,Miami-Ohio,29,West Virginia,29,13.0
09/05/1992,Montana,13,Washington State,25, 
09/05/1992,Mississippi State,28,Texas,10,1.5
09/05/1992,North Carolina,35,Wake Forest,17,-8.5
09/05/1992,Nevada-Reno,6,Wyoming,25, 
09/05/1992,Northern Illinois,14,Illinois,30, 
09/05/1992,Northwestern,7,Notre Dame,42,35.0
09/05/1992,Ohio,9,Iowa State,35,20.0
09/05/1992,Penn State,24,Cincinnati,20,-26.5
09/05/1992,Rice,21,Air Force,30,5.5
09/05/1992,Rutgers,20,Boston College,37,4.5
09/05/1992,Southern Cal,31,San Diego State,31,-7.5
09/05/1992,San Jose State,16,California,46, 
09/05/1992,UL-Lafayette,3,Tennessee,38,20.5
09/05/1992,Syracuse,42,East Carolina,21,-12.5
09/05/1992,Texas Christian,7,New Mexico,24,-15.0
09/05/1992,Temple,35,Boston University,0, 
09/05/1992,Tulane,13,S-M-U,12,3.0
09/05/1992,Texas A+M,31,Louisiana State,22,-8.5
09/05/1992,Utah,22,Nebraska,49,25.5
09/05/1992,Utah State,3,Arizona,49, 
09/05/1992,Vanderbilt,8,Alabama,25,23.5
09/05/1992,Washington,31,Arizona State,7,-22.0
09/10/1992,San Diego State,45,Brigham Young,38,5.5
09/12/1992,Arkansas State,0,Oklahoma,61, 
09/12/1992,Appalachian State,7,Wake Forest,10, 
09/12/1992,Arkansas,45,South Carolina,7,3.0
09/12/1992,Ball State,10,Kansas,62,17.0
09/12/1992,Bowling Green,6,Ohio State,17,18.5
09/12/1992,California,14,Purdue,41,-12.5
09/12/1992,Central Michigan,24,Michigan State,20,20.0
09/12/1992,Colgate,0,Rutgers,41, 
09/12/1992,Colorado,57,Baylor,38,-9.5
09/12/1992,Duke,37,Vanderbilt,42,10.0
09/12/1992,Eastern Michigan,17,Louisiana Tech,31,23.5
09/12/1992,Fresno State,36,Oregon State,46,-12.0
09/12/1992,Florida State,24,Clemson,20,-6.5
09/12/1992,Fullerton State,14,U.C.L.A.,37, 
09/12/1992,Furman,0,North Carolina,28, 
09/12/1992,Hawaii,6,Air Force,3,8.0
09/12/1992,Holy Cross,7,Army,17, 
09/12/1992,Iowa State,7,Iowa,21,16.0
09/12/1992,Idaho,37,Colorado State,34, 
09/12/1992,Illinois State,19,Northern Illinois,26, 
09/12/1992,Kentucky,19,Florida,35,23.5
09/12/1992,Memphis,15,Louisville,16,2.5
09/12/1992,Miami-Ohio,0,Indiana,16,14.0
09/12/1992,Michigan,17,Notre Dame,17,3.0
09/12/1992,Missouri,17,Illinois,24,14.0
09/12/1992,Mississippi State,3,Louisiana State,24,-4.5
09/12/1992,Middle Tennessee,7,Nebraska,48, 
09/12/1992,No Carolina State,14,Maryland,10,-8.0
09/12/1992,UL-Monroe,23,UL-Lafayette,31, 
09/12/1992,New Mexico,39,New Mexico State,42, 
09/12/1992,North Texas,14,S-M-U,28, 
09/12/1992,Northwestern,0,Boston College,49,21.0
09/12/1992,Ohio,27,Kent State,14,0.0
09/12/1992,Oregon,7,Stanford,21,19.0
09/12/1992,Samford,0,Auburn,55, 
09/12/1992,San Jose State,39,Minnesota,30, 
09/12/1992,Southern Miss,10,Alabama,17,23.5
09/12/1992,Temple,8,Penn State,49,27.0
09/12/1992,Tennessee,34,Georgia,31,5.5
09/12/1992,Texas,21,Syracuse,31,13.5
09/12/1992,Toledo,20,Akron,23,-3.5
09/12/1992,Tulane,9,Mississippi,35,17.0
09/12/1992,Tulsa,9,Texas A+M,19,22.0
09/12/1992,Utah,42,Utah State,18, 
09/12/1992,UTEP,17,Nevada-Las Vegas,19, 
09/12/1992,Virginia,53,Navy,0,-19.0
09/12/1992,Virginia Tech,27,East Carolina,30,1.5
09/12/1992,Washington State,23,Arizona,20,4.5
09/12/1992,Western Carolina,19,Georgia Tech,37, 
09/12/1992,Wisconsin,10,Washington,27,31.5
09/12/1992,Western Michigan,17,Texas Christian,17,15.5
09/12/1992,West Virginia,44,Pittsburgh,6,6.0
09/12/1992,Wyoming,32,Texas Tech,49,13.5
09/17/1992,Pittsburgh,16,Rutgers,21,3.5
09/19/1992,Air Force,42,Wyoming,28,-1.5
09/19/1992,Akron,20,Western Michigan,24,3.0
09/19/1992,Alabama,38,Arkansas,11,-9.0
09/19/1992,Arizona,14,Oregon State,14,-9.0
09/19/1992,Army,9,North Carolina,22,21.5
09/19/1992,Ball State,10,Kent State,6,-12.0
09/19/1992,Bowling Green,18,Wisconsin,39,7.0
09/19/1992,Cincinnati,14,Miami-Ohio,17,2.0
09/19/1992,Colorado,21,Minnesota,20,-20.0
09/19/1992,Colorado State,21,Fresno State,52,8.0
09/19/1992,East Carolina,20,South Carolina,18,-3.0
09/19/1992,Eastern Michigan,7,Penn State,52,36.0
09/19/1992,Florida,14,Tennessee,31,-5.5
09/19/1992,Florida A+M,0,Miami-Florida,38, 
09/19/1992,Florida State,34,No Carolina State,13,-10.5
09/19/1992,Fullerton State,0,Georgia,56,39.5
09/19/1992,Georgia Tech,24,Virginia,55,5.5
09/19/1992,Illinois,13,Houston,31,3.5
09/19/1992,Indiana,25,Kentucky,37,-5.0
09/19/1992,Kansas,40,Tulsa,7,-3.0
09/19/1992,Louisville,0,Arizona State,19,6.0
09/19/1992,Louisiana State,28,Auburn,30,3.0
09/19/1992,Louisiana Tech,13,Southern Miss,16,-2.5
09/19/1992,Maryland,33,West Virginia,34,9.0
09/19/1992,Mississippi,9,Vanderbilt,31,-5.5
09/19/1992,Montana,12,Kansas State,27, 
09/19/1992,Mississippi State,20,Memphis,16,-5.0
09/19/1992,Navy,0,Boston College,28,34.0
09/19/1992,Notre Dame,52,Michigan State,31,-14.5
09/19/1992,Nebraska,14,Washington,29,7.0
09/19/1992,Northern Illinois,31,Arkansas State,0, 
09/19/1992,New Mexico State,30,UTEP,24,8.0
09/19/1992,Northwestern,24,Stanford,35,35.5
09/19/1992,Ohio,0,Central Michigan,24,14.5
09/19/1992,Ohio State,35,Syracuse,12,10.0
09/19/1992,Oklahoma State,3,Michigan,35,28.5
09/19/1992,Rice,12,Duke,17,-1.0
09/19/1992,Southern Cal,20,Oklahoma,10,11.0
09/19/1992,S-M-U,20,New Mexico,13,4.0
09/19/1992,UL-Lafayette,13,San Jose State,28,10.0
09/19/1992,Toledo,33,Purdue,29,13.0
09/19/1992,Texas Tech,13,Oregon,16,-1.0
09/19/1992,Tulane,14,Iowa State,38,9.5
09/19/1992,Texas A+M,26,Missouri,13,-17.0
09/19/1992,U.C.L.A.,17,Brigham Young,10,2.0
09/19/1992,Utah State,10,Baylor,45,23.5
09/19/1992,Virginia Tech,26,Temple,7,-10.0
09/24/1992,California,27,Kansas,23,6.5
09/26/1992,Arizona,7,Miami-Florida,8,28.0
09/26/1992,Arkansas,6,Memphis,22, 
09/26/1992,Arizona State,24,Nebraska,45,18.5
09/26/1992,Baylor,17,Texas Tech,36,2.5
09/26/1992,Brigham Young,32,Hawaii,36,0.0
09/26/1992,Cincinnati,0,Tennessee,40,22.0
09/26/1992,The Citadel,15,Army,14, 
09/26/1992,Clemson,16,Georgia Tech,20,-5.5
09/26/1992,Colorado State,17,Louisiana State,14,19.5
09/26/1992,East Carolina,34,Bowling Green,44,-2.0
09/26/1992,Houston,7,Michigan,61,18.5
09/26/1992,Iowa,12,Colorado,28,6.5
09/26/1992,Kent State,17,Eastern Michigan,14,10.0
09/26/1992,Louisiana Tech,0,Alabama,13,19.0
09/26/1992,Michigan State,0,Boston College,14,13.5
09/26/1992,Maryland,13,Penn State,49,17.0
09/26/1992,Miami-Ohio,9,Ball State,19,-1.0
09/26/1992,Minnesota,33,Pittsburgh,41,7.5
09/26/1992,Mississippi,11,Georgia,37,12.0
09/26/1992,Missouri,10,Indiana,20,10.0
09/26/1992,No Carolina State,27,North Carolina,20,2.0
09/26/1992,Nevada-Reno,17,Tulane,34, 
09/26/1992,Northern Illinois,17,Wisconsin,18,14.5
09/26/1992,New Mexico,32,Air Force,33,17.0
09/26/1992,Northern Iowa,27,Iowa State,10, 
09/26/1992,North Texas,15,Texas,33, 
09/26/1992,Oregon State,9,Utah,42,10.0
09/26/1992,Purdue,0,Notre Dame,48,23.5
09/26/1992,Rutgers,40,Navy,0,-17.5
09/26/1992,South Carolina,9,Kentucky,13,10.5
09/26/1992,San Diego State,7,U.C.L.A.,35,7.0
09/26/1992,Sam Houston State,14,Rice,45, 
09/26/1992,San Jose State,13,Stanford,37,16.5
09/26/1992,Southern Miss,8,Auburn,16,13.5
09/26/1992,Texas Christian,9,S-M-U,21,-6.0
09/26/1992,Temple,14,Kansas State,35,13.0
09/26/1992,Toledo,9,Central Michigan,28,4.0
09/26/1992,Tulsa,19,Oklahoma State,24,-3.5
09/26/1992,Nevada-Las Vegas,6,Oregon,59, 
09/26/1992,Virginia,55,Duke,28,-16.5
09/26/1992,Washington State,39,Fresno State,37,-2.5
09/26/1992,Wake Forest,7,Florida State,35,34.5
09/26/1992,Western Kentucky,14,UL-Lafayette,17, 
09/26/1992,Western Michigan,19,Ohio,3,-3.0
09/26/1992,West Virginia,16,Virginia Tech,7,0.0
09/26/1992,Wyoming,26,Louisville,24,9.0
10/01/1992,Florida,6,Mississippi State,30,-4.0
10/02/1992,Utah State,9,Brigham Young,30,22.0
10/03/1992,Air Force,28,UTEP,22,-5.0
10/03/1992,Akron,13,Ohio,0,-8.0
10/03/1992,Arizona State,20,Oregon,30,1.5
10/03/1992,Ball State,14,Western Michigan,21,4.0
10/03/1992,Boston College,24,West Virginia,24,0.0
10/03/1992,Bowling Green,17,Central Michigan,14,7.0
10/03/1992,Chattanooga,3,Clemson,54, 
10/03/1992,Florida State,16,Miami-Florida,19,2.0
10/03/1992,Georgia,27,Arkansas,3,-13.0
10/03/1992,Iowa State,3,Oklahoma,17,25.5
10/03/1992,Illinois,17,Minnesota,18,-6.5
10/03/1992,Indiana,31,Michigan State,42,-3.0
10/03/1992,Iowa,28,Michigan,52,20.5
10/03/1992,Kent State,0,Cincinnati,31,18.0
10/03/1992,Kentucky,14,Mississippi,24,6.0
10/03/1992,Louisiana Tech,14,Fresno State,48,5.5
10/03/1992,Marshall,21,Missouri,44, 
10/03/1992,Miami-Ohio,24,Eastern Michigan,7,-6.0
10/03/1992,Middle Tennessee,21,Northern Illinois,13, 
10/03/1992,Navy,14,North Carolina,28,31.0
10/03/1992,No Carolina State,13,Georgia Tech,16,1.5
10/03/1992,New Mexico State,0,Kansas State,19,21.5
10/03/1992,Northwestern,28,Purdue,14,14.0
10/03/1992,Ohio State,16,Wisconsin,20,-8.0
10/03/1992,Oklahoma State,11,Texas Christian,13,2.5
10/03/1992,Oregon State,0,California,42,22.5
10/03/1992,Penn State,38,Rutgers,24,-13.5
10/03/1992,Pittsburgh,34,Maryland,47,3.0
10/03/1992,Southern Cal,10,Washington,17,13.5
10/03/1992,South Carolina,7,Alabama,48,26.0
10/03/1992,San Diego State,49,New Mexico,21,-15.0
10/03/1992,San Jose State,26,Wyoming,24,0.0
10/03/1992,S-M-U,7,Baylor,49, 
