Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/14/1995,Toledo,40,Nevada-Reno,37,-2.5,Las Vegas Bowl
12/25/1995,Kansas,51,U.C.L.A.,30,5.0,Aloha Bowl
12/27/1995,Air Force,41,Texas Tech,55,4.5,Copper Bowl
12/28/1995,Michigan,20,Texas A+M,22,-3.0,Alamo Bowl
12/29/1995,Kansas State,54,Colorado State,21,-9.0,Holiday Bowl
12/29/1995,Michigan State,26,Louisiana State,45,6.5,Independence Bowl
12/29/1995,Washington,18,Iowa,38,-5.5,Sun Bowl
12/30/1995,Georgia,27,Virginia,34,6.5,Peach Bowl
12/30/1995,North Carolina,20,Arkansas,10,-2.0,Carquest Bowl
12/30/1995,Stanford,13,East Carolina,19,-4.0,Liberty Bowl
12/31/1995,Virginia Tech,28,Texas,10,0.0,Sugar Bowl
01/01/1996,Auburn,14,Penn State,43,2.0,Hall of Fame Bowl
01/01/1996,Florida State,31,Notre Dame,26,-11.0,Orange Bowl
01/01/1996,Northwestern,32,Southern Cal,41,4.5,Rose Bowl
01/01/1996,Ohio State,14,Tennessee,20,-5.5,Citrus Bowl
01/01/1996,Oregon,6,Colorado,38,6.5,Cotton Bowl
01/01/1996,Syracuse,41,Clemson,0,2.0,Gator Bowl
01/02/1996,Florida,24,Nebraska,62,3.0,Fiesta Bowl
