Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/18/2001,North Texas,20,Colorado State,45,12.5,New Orleans Bowl
12/19/2001,Marshall,64,East Carolina,61,1.0,GMAC Bowl
12/20/2001,Pittsburgh,34,No Carolina State,19,0.0,Tangerine Bowl
12/25/2001,Southern Cal,6,Utah,10,-3.5,Las Vegas Bowl
12/27/2001,Georgia Tech,24,Stanford,14,4.5,Seattle Bowl
12/27/2001,Iowa State,13,Alabama,14,6.5,Independence Bowl
12/28/2001,Texas A+M,28,Texas Christian,9,-6.5,GalleryFurniture.com Bowl
12/28/2001,Boston College,20,Georgia,16,4.5,Music City Bowl
12/28/2001,Texas,47,Washington,43,-12.5,Holiday Bowl
12/29/2001,Toledo,23,Cincinnati,16,-3.5,Motor City Bowl
12/29/2001,Iowa,19,Texas Tech,16,1.0,Alamo Bowl
12/29/2001,Syracuse,26,Kansas State,3,5.5,Insight.com Bowl
12/31/2001,Clemson,49,Louisiana Tech,24,-6.5,Humanitarian Bowl
12/31/2001,Purdue,27,Washington State,33,8.0,Sun Bowl
12/31/2001,Michigan State,44,Fresno State,35,5.5,Silicon Valley Bowl
12/31/2001,Louisville,28,Brigham Young,10,-3.0,Liberty Bowl
12/31/2001,North Carolina,16,Auburn,10,-2.5,Peach Bowl
01/01/2002,Arkansas,3,Oklahoma,10,13.5,Cotton Bowl
01/01/2002,South Carolina,31,Ohio State,28,-1.5,Outback Bowl
01/01/2002,Florida State,30,Virginia Tech,17,2.0,Gator Bowl
01/01/2002,Tennessee,45,Michigan,17,-4.0,Citrus Bowl
01/01/2002,Oregon,38,Colorado,16,3.0,Fiesta Bowl
01/01/2002,Illinois,34,Louisiana State,47,2.5,Sugar Bowl
01/02/2002,Florida,56,Maryland,23,-14.0,Orange Bowl
01/03/2002,Nebraska,14,Miami-Florida,37,8.0,Rose Bowl
