Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/08/1990,Central Michigan,24,San Jose State,48, ,California Bowl
12/15/1990,Louisiana Tech,34,Maryland,34, ,Independence Bowl
12/25/1990,Arizona,0,Syracuse,28,3.0,Aloha Bowl
12/27/1990,Air Force,23,Ohio State,11,17.0,Liberty Bowl
12/28/1990,Florida State,24,Penn State,17,-6.5,Blockbuster Bowl
12/28/1990,No Carolina State,31,Southern Miss,27,1.0,All-American Bowl
12/29/1990,Auburn,27,Indiana,23,-9.0,Peach Bowl
12/29/1990,Brigham Young,14,Texas A+M,65,-4.0,Holiday Bowl
12/29/1990,Colorado State,32,Oregon,31,8.5,Freedom Bowl
12/31/1990,California,17,Wyoming,15,-7.5,Copper Bowl
12/31/1990,Michigan State,17,Southern Cal,16,1.0,Sun Bowl
01/01/1991,Alabama,7,Louisville,34,-8.5,Fiesta Bowl
01/01/1991,Clemson,30,Illinois,0,-3.0,Hall of Fame Bowl
01/01/1991,Colorado,10,Notre Dame,9,1.0,Orange Bowl
01/01/1991,Georgia Tech,45,Nebraska,21,2.5,Citrus Bowl
01/01/1991,Iowa,34,Washington,46,10.0,Rose Bowl
01/01/1991,Miami-Florida,46,Texas,3,-6.0,Cotton Bowl
01/01/1991,Michigan,35,Mississippi,3,-11.5,Gator Bowl
01/01/1991,Tennessee,23,Virginia,22,-5.0,Sugar Bowl
