Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/15/1979,California,17,Temple,28,2.0,Garden State Bowl
12/15/1979,McNeese State,7,Syracuse,31,2.0,Independence Bowl
12/21/1979,Brigham Young,37,Indiana,38,-8.0,Holiday Bowl
12/22/1979,Louisiana State,34,Wake Forest,10,-6.5,Tangerine Bowl
12/22/1979,Penn State,9,Tulane,6,-2.0,Liberty Bowl
12/22/1979,Texas,7,Washington,14,-6.5,Sun Bowl
12/25/1979,Arizona,10,Pittsburgh,16,9.5,Fiesta Bowl
12/28/1979,Michigan,15,North Carolina,17,-6.5,Gator Bowl
12/29/1979,Missouri,24,South Carolina,14,-2.0,Hall of Fame Bowl
12/31/1979,Baylor,24,Clemson,18,4.0,Peach Bowl
12/31/1979,Purdue,27,Tennessee,22,-6.5,Bluebonnet Bowl
01/01/1980,Alabama,24,Arkansas,9,-6.5,Sugar Bowl
01/01/1980,Florida State,7,Oklahoma,24,8.0,Orange Bowl
01/01/1980,Houston,17,Nebraska,14,3.5,Cotton Bowl
01/01/1980,Ohio State,16,Southern Cal,17,7.5,Rose Bowl
