Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/26/1990,Colorado,31,Tennessee,31,-4.0
08/31/1990,Southern Cal,34,Syracuse,16,-9.0
09/01/1990,Arkansas State,24,Memphis,24, 
09/01/1990,Baylor,0,Nebraska,13,17.5
09/01/1990,Brigham Young,30,UTEP,10,-21.5
09/01/1990,Central Michigan,17,Kentucky,20, 
09/01/1990,Colorado State,35,Air Force,33,2.0
09/01/1990,Delta State,0,Southern Miss,12, 
09/01/1990,Duke,10,South Carolina,21,3.0
09/01/1990,Eastern Illinois,17,Northern Illinois,28, 
09/01/1990,Eastern Michigan,10,Fresno State,41, 
09/01/1990,Illinois State,7,Akron,17, 
09/01/1990,Kent State,24,West Virginia,35, 
09/01/1990,Long Beach State,0,Clemson,59, 
09/01/1990,Louisville,10,San Jose State,10, 
09/01/1990,Louisiana Tech,17,East Carolina,27, 
09/01/1990,Miami-Ohio,0,North Carolina,34, 
09/01/1990,Montana,22,Oregon State,15, 
09/01/1990,New Mexico,29,New Mexico State,12, 
09/01/1990,Ohio,3,Pittsburgh,35, 
09/01/1990,Pacific,7,Tennessee,55, 
09/01/1990,Sonoma State,24,Fullerton State,38, 
09/01/1990,UL-Lafayette,48,Tulane,6, 
09/01/1990,Missouri State,31,Nevada-Las Vegas,24, 
09/01/1990,Temple,23,Wyoming,38,16.0
09/01/1990,Tulsa,3,Oklahoma State,10,2.0
09/01/1990,Texas A+M,28,Hawaii,13,-7.0
09/01/1990,Utah,19,Utah State,0, 
09/01/1990,Virginia,59,Kansas,10,-20.0
09/01/1990,Virginia Tech,13,Maryland,20,0.0
09/01/1990,Washington State,21,Texas Christian,3,-6.0
09/01/1990,Western Carolina,0,No Carolina State,67, 
09/01/1990,Wake Forest,17,Rice,33,3.0
09/02/1990,Bowling Green,34,Cincinnati,20, 
09/06/1990,Stanford,17,Colorado,21,20.0
09/08/1990,Akron,38,Kent State,10, 
09/08/1990,Appalachian State,12,Wake Forest,23, 
09/08/1990,Ball State,13,Illinois State,3, 
09/08/1990,Baylor,13,Arizona State,34,2.5
09/08/1990,Boston College,6,Pittsburgh,29,12.5
09/08/1990,Bowling Green,7,Virginia Tech,21, 
09/08/1990,California,28,Wisconsin,12,-3.5
09/08/1990,Cincinnati,0,Central Michigan,34, 
09/08/1990,Clemson,7,Virginia,20,-2.0
09/08/1990,Duke,27,Northwestern,24,-11.5
09/08/1990,East Carolina,24,Florida State,45,29.0
09/08/1990,Fullerton State,17,Auburn,38, 
09/08/1990,Georgia,13,Louisiana State,18,-1.0
09/08/1990,Hawaii,3,Air Force,27,-2.0
09/08/1990,Illinois,16,Arizona,28,2.0
09/08/1990,Kentucky,8,Rutgers,24,-6.0
09/08/1990,Long Beach State,13,Utah State,27, 
09/08/1990,Louisiana Tech,51,McNeese State,3, 
09/08/1990,Maryland,14,West Virginia,10,5.0
09/08/1990,Memphis,21,Mississippi,23,11.5
09/08/1990,Miami-Florida,21,Brigham Young,28,-13.5
09/08/1990,Montana State,5,Colorado State,41, 
09/08/1990,Murray State,0,Louisville,68, 
09/08/1990,North Carolina,5,South Carolina,27,13.0
09/08/1990,No Carolina State,13,Georgia Tech,21,2.0
09/08/1990,UL-Monroe,18,Arkansas State,23, 
09/08/1990,Nicholls State,21,UL-Lafayette,24, 
09/08/1990,Northern Illinois,14,Nebraska,60, 
09/08/1990,New Mexico,17,Fresno State,24, 
09/08/1990,New Mexico State,24,UTEP,27, 
09/08/1990,Northern Iowa,6,Iowa State,35, 
09/08/1990,Oklahoma,34,U.C.L.A.,14,2.0
09/08/1990,Oklahoma State,7,Florida,50,17.0
09/08/1990,Oregon State,12,Kansas,38,-7.0
09/08/1990,Richmond,17,Navy,28, 
09/08/1990,Sacramento State,33,Pacific,41, 
09/08/1990,San Diego State,21,Oregon,42,13.5
09/08/1990,San Jose State,17,Washington,20, 
09/08/1990,Southern Miss,27,Alabama,24,19.0
09/08/1990,Missouri State,28,Tulsa,41, 
09/08/1990,Texas Christian,20,Missouri,19,3.5
09/08/1990,Temple,9,Syracuse,19,19.0
09/08/1990,Tennessee,40,Mississippi State,7,-13.0
09/08/1990,Texas,17,Penn State,13,8.0
09/08/1990,Toledo,20,Miami-Ohio,14, 
09/08/1990,Texas Tech,10,Ohio State,17,9.5
09/08/1990,Tulane,21,Rice,10,7.5
09/08/1990,Nevada-Las Vegas,9,Houston,37, 
09/08/1990,Utah,35,Minnesota,29,11.0
09/08/1990,Vanderbilt,7,S-M-U,44,-9.0
09/08/1990,Western Illinois,6,Kansas State,27, 
09/08/1990,Western Michigan,24,Eastern Michigan,27, 
09/08/1990,Wyoming,34,Washington State,13,9.0
09/13/1990,Houston,51,Texas Tech,35,-10.0
09/15/1990,Arkansas State,27,Wyoming,34, 
09/15/1990,Arizona,25,New Mexico,10,-17.0
09/15/1990,Auburn,24,Mississippi,10,-12.5
09/15/1990,Ball State,7,Wisconsin,24, 
09/15/1990,Cincinnati,10,Iowa,63,37.0
09/15/1990,The Citadel,7,Air Force,10, 
09/15/1990,Clemson,18,Maryland,17,-10.0
09/15/1990,Central Michigan,14,Akron,14, 
09/15/1990,Colgate,17,Rutgers,28, 
09/15/1990,Colorado,22,Illinois,23,-3.5
09/15/1990,Connecticut,21,North Carolina,48, 
09/15/1990,Colorado State,20,Arizona State,31,9.5
09/15/1990,Florida,17,Alabama,13,1.0
09/15/1990,Fresno State,31,Utah,7, 
09/15/1990,Fullerton State,13,Mississippi State,27, 
09/15/1990,Georgia Southern,6,Florida State,48, 
09/15/1990,Holy Cross,7,Army,24, 
09/15/1990,Iowa State,16,Minnesota,20,0.0
09/15/1990,Idaho,23,Oregon,55, 
09/15/1990,Indiana,45,Kentucky,24,-1.5
09/15/1990,Kansas,16,Louisville,28,21.0
09/15/1990,Long Beach State,20,San Diego State,38, 
09/15/1990,Louisiana Tech,21,Western Michigan,27, 
09/15/1990,Michigan State,23,Syracuse,23,-3.5
09/15/1990,Miami-Florida,52,California,24,-21.0
09/15/1990,Miami-Ohio,7,Louisiana State,35, 
09/15/1990,Michigan,24,Notre Dame,28,6.0
09/15/1990,Navy,14,Virginia,56,27.0
09/15/1990,Northern Illinois,14,Toledo,23, 
09/15/1990,New Mexico State,7,Kansas State,52, 
09/15/1990,Northern Iowa,23,Oklahoma State,33, 
09/15/1990,Ohio,18,Eastern Michigan,21, 
09/15/1990,Ohio State,31,Boston College,10,-6.5
09/15/1990,Penn State,14,Southern Cal,19,13.5
09/15/1990,Austin Peay,0,Temple,28, 
09/15/1990,Pittsburgh,10,Oklahoma,52,6.0
09/15/1990,San Jose State,28,Pacific,14, 
09/15/1990,Southern Miss,17,Georgia,18,11.0
09/15/1990,S-M-U,7,Tulane,43,4.0
09/15/1990,Stanford,31,U.C.L.A.,32,5.0
09/15/1990,UL-Lafayette,14,Texas A+M,63, 
09/15/1990,Tulsa,3,Arkansas,28,17.0
09/15/1990,Nevada-Las Vegas,45,Oregon State,20, 
09/15/1990,UTEP,0,Tennessee,56,37.0
09/15/1990,Utah State,10,Missouri,45, 
09/15/1990,Virginia Tech,24,East Carolina,23,-1.0
09/15/1990,Washington,20,Purdue,14,-8.5
09/15/1990,Washington State,36,Brigham Young,50,11.5
09/15/1990,Wake Forest,15,No Carolina State,20,13.5
09/22/1990,Air Force,12,Wyoming,24,9.0
09/22/1990,Arkansas State,7,Louisiana Tech,40, 
09/22/1990,Alabama,16,Georgia,17,-3.0
09/22/1990,Appalachian State,0,Clemson,48, 
09/22/1990,Bowling Green,0,Central Michigan,17, 
09/22/1990,California,31,Washington State,41,6.0
09/22/1990,U-C-F,28,Memphis,37, 
09/22/1990,Chattanooga,9,Georgia Tech,44, 
09/22/1990,Colorado,29,Texas,22,-6.0
09/22/1990,East Carolina,20,UL-Lafayette,10, 
09/22/1990,Eastern Michigan,14,Youngstown State,24, 
09/22/1990,Florida State,31,Tulane,13,-26.0
09/22/1990,Fullerton State,17,Akron,48, 
09/22/1990,Furman,3,Florida,27, 
09/22/1990,Hawaii,19,Utah,7,-3.5
09/22/1990,Iowa State,35,Iowa,45,14.0
09/22/1990,Indiana State,13,Purdue,41, 
09/22/1990,Kent State,10,Western Michigan,37, 
09/22/1990,Kansas State,35,Northern Illinois,42, 
09/22/1990,Kentucky,13,North Carolina,16,2.0
09/22/1990,Louisville,9,West Virginia,7,2.0
09/22/1990,Louisiana State,21,Vanderbilt,24,-17.0
09/22/1990,Miami-Ohio,16,Cincinnati,12, 
09/22/1990,Minnesota,0,Nebraska,56,29.0
09/22/1990,Mississippi,21,Arkansas,17,13.0
09/22/1990,Missouri,7,Indiana,58,8.5
09/22/1990,No Carolina State,12,Maryland,13,3.0
09/22/1990,Notre Dame,20,Michigan State,19,-6.0
09/22/1990,New Mexico State,3,Fresno State,42, 
09/22/1990,North Texas,8,Texas A+M,40, 
09/22/1990,Northwestern,14,Rice,31,7.0
09/22/1990,Oklahoma State,21,Texas Christian,31,4.5
09/22/1990,Oregon,17,Arizona,22,5.5
09/22/1990,Oregon State,3,Stanford,37,27.0
09/22/1990,Pacific,7,Long Beach State,28, 
09/22/1990,Pittsburgh,20,Syracuse,20,1.0
09/22/1990,Rutgers,0,Penn State,28,15.0
09/22/1990,Southern Cal,0,Washington,31,-5.5
09/22/1990,South Carolina,35,Virginia Tech,24,-3.0
09/22/1990,San Diego State,34,Brigham Young,62,22.0
09/22/1990,Sam Houston State,9,Baylor,13, 
09/22/1990,Southern Illinois,21,Illinois,56, 
09/22/1990,San Jose State,47,Nevada-Las Vegas,13, 
09/22/1990,Southern Miss,10,Mississippi State,13,-5.0
09/22/1990,Temple,24,Wisconsin,18,3.0
09/22/1990,Tennessee Tech,32,Ohio,42, 
09/22/1990,Toledo,28,Ball State,16, 
09/22/1990,Texas Tech,34,New Mexico,32,-8.5
09/22/1990,Tulsa,10,Oklahoma,52,37.0
09/22/1990,U.C.L.A.,15,Michigan,38,14.0
09/22/1990,UTEP,20,Colorado State,38,24.0
09/22/1990,Villanova,21,Navy,23, 
09/22/1990,Virginia,59,Duke,0,-16.0
09/22/1990,Virginia Military,17,Army,41, 
09/29/1990,Air Force,18,San Diego State,48,4.0
09/29/1990,Akron,23,Youngstown State,28, 
09/29/1990,Arkansas State,20,Southern Illinois,17, 
09/29/1990,Army,14,Wake Forest,52,-1.5
09/29/1990,Arizona State,9,Missouri,30,-12.0
09/29/1990,Baylor,21,Texas Tech,15,2.5
09/29/1990,Boise State,20,Long Beach State,21, 
09/29/1990,Boston College,28,Navy,17,-7.5
09/29/1990,Bowling Green,6,Ball State,16, 
09/29/1990,Brigham Young,16,Oregon,32,-3.0
09/29/1990,California,30,Arizona,25,12.5
09/29/1990,Cincinnati,27,Kent State,24, 
09/29/1990,Colorado State,20,Arkansas,31,12.0
09/29/1990,Duke,7,Clemson,26,24.0
09/29/1990,East Carolina,15,Georgia,19,9.0
09/29/1990,Eastern Michigan,6,Indiana,37, 
09/29/1990,Fresno State,38,Fullerton State,3, 
09/29/1990,Iowa,21,Miami-Florida,48,22.5
09/29/1990,Kansas,17,Oklahoma,31,41.0
09/29/1990,Louisville,13,Southern Miss,25,1.0
09/29/1990,Michigan State,34,Rutgers,10,-17.0
09/29/1990,Maryland,17,Michigan,45,21.0
09/29/1990,Memphis,22,Tulsa,10,0.0
09/29/1990,Miami-Ohio,7,Central Michigan,31, 
09/29/1990,Mississippi State,21,Florida,34,21.0
09/29/1990,No Carolina State,12,North Carolina,9,-7.5
09/29/1990,Northern Illinois,7,Northwestern,24, 
09/29/1990,New Mexico,6,Kansas State,38,-4.0
09/29/1990,Oregon State,7,Nebraska,31,49.0
09/29/1990,Purdue,11,Notre Dame,37,24.0
09/29/1990,Rice,22,Houston,24,29.0
09/29/1990,Southern Cal,35,Ohio State,26,-1.5
09/29/1990,South Carolina,6,Georgia Tech,27,3.5
09/29/1990,Sam Houston State,10,UTEP,17, 
09/29/1990,San Jose State,29,Stanford,23, 
09/29/1990,UL-Lafayette,10,Louisiana Tech,24, 
09/29/1990,Texas Christian,42,S-M-U,21,-7.0
09/29/1990,Tennessee,26,Auburn,26,2.0
09/29/1990,Toledo,27,Ohio,20, 
09/29/1990,Tulane,21,Mississippi,31,7.5
09/29/1990,Texas A+M,8,Louisiana State,17,-8.0
09/29/1990,U.C.L.A.,30,Washington State,20,1.5
09/29/1990,Nevada-Las Vegas,37,Pacific,28, 
09/29/1990,Vanderbilt,28,Alabama,59,23.0
09/29/1990,Virginia Tech,28,Florida State,39,25.0
09/29/1990,Washington,14,Colorado,20,5.5
09/29/1990,Western Michigan,20,Iowa State,34, 
09/29/1990,William + Mary,35,Virginia,63, 
09/29/1990,West Virginia,38,Pittsburgh,24,10.0
09/29/1990,Wyoming,28,Utah,10,-11.0
10/06/1990,Alabama,25,UL-Lafayette,6, 
10/06/1990,Appalachian State,0,No Carolina State,56, 
10/06/1990,Arizona,28,U.C.L.A.,21,3.5
10/06/1990,Ball State,10,Miami-Ohio,24, 
10/06/1990,Central Michigan,42,Kent State,0, 
10/06/1990,Colorado,33,Missouri,31,-16.5
10/06/1990,Duke,17,Army,16,2.5
10/06/1990,Eastern Michigan,23,Toledo,37, 
10/06/1990,Fresno State,18,Northern Illinois,73, 
10/06/1990,Florida State,22,Miami-Florida,31,5.0
10/06/1990,Fullerton State,10,Nevada-Las Vegas,29, 
10/06/1990,Georgia,3,Clemson,34,9.5
10/06/1990,Georgia Tech,31,Maryland,3,0.0
10/06/1990,Houston,31,Baylor,15,-11.5
10/06/1990,Illinois,31,Ohio State,20,0.0
