Date,Visitor,Visitor Score,Home Team,Home Score,Line
09/02/1982,Brigham Young,27,Nevada-Las Vegas,0, 
09/04/1982,Abilene Christian,33,West Texas A+M,29, 
09/04/1982,Air Force,17,Tulsa,35, 
09/04/1982,Arizona State,34,Oregon,3,-10.0
09/04/1982,Boston College,38,Texas A+M,16,16.0
09/04/1982,Cincinnati,31,Florida State,38,14.0
09/04/1982,Colorado State,14,Missouri,28, 
09/04/1982,Duke,25,Tennessee,24,3.0
09/04/1982,Furman,0,No Carolina State,26, 
09/04/1982,Grand Valley State,3,Western Michigan,28, 
09/04/1982,Illinois State,14,Eastern Illinois,27, 
09/04/1982,Indiana State,10,Central Michigan,35, 
09/04/1982,Kent State,21,Marshall,30, 
09/04/1982,Memphis,10,Mississippi,27,9.0
09/04/1982,Miami-Florida,14,Florida,17,4.0
09/04/1982,Montana State,12,Utah,30, 
09/04/1982,Missouri-Rolla,14,Wichita State,51, 
09/04/1982,Mississippi State,30,Tulane,21,-4.0
09/04/1982,UL-Monroe,27,Southern Miss,45, 
09/04/1982,Northern Illinois,3,Toledo,9, 
09/04/1982,New Mexico,41,Wyoming,20, 
09/04/1982,Northern Arizona,15,Fullerton State,19, 
09/04/1982,Northern Iowa,13,Drake,40, 
09/04/1982,North Texas,17,Baylor,21, 
09/04/1982,Northwestern,13,Illinois,49,33.0
09/04/1982,Ohio,0,Bowling Green,40, 
09/04/1982,Pacific,6,South Carolina,41, 
09/04/1982,Southern Illinois,38,Western Illinois,7, 
09/04/1982,Syracuse,31,Rutgers,8,1.0
09/04/1982,Temple,14,Penn State,31,24.0
09/04/1982,UTEP,20,New Mexico State,17, 
09/04/1982,Virginia Tech,20,Richmond,9,-15.0
09/04/1982,Western Carolina,10,Wake Forest,31, 
09/04/1982,Western Kentucky,10,Louisville,20, 
09/06/1982,Clemson,7,Georgia,13,1.0
09/09/1982,North Carolina,6,Pittsburgh,7,7.0
09/11/1982,Arkansas State,10,Mississippi State,31, 
09/11/1982,Alabama,45,Georgia Tech,7,-21.0
09/11/1982,Army,10,Missouri,23,23.0
09/11/1982,Baylor,14,Ohio State,21,11.0
09/11/1982,Boston College,17,Clemson,17,13.0
09/11/1982,Brigham Young,14,Georgia,17,8.0
09/11/1982,California,31,Colorado,17,-3.0
09/11/1982,UC-Davis,23,Pacific,22, 
09/11/1982,Cal-San Luis Obispo,6,Fresno State,26, 
09/11/1982,East Carolina,26,No Carolina State,33,16.0
09/11/1982,Eastern Michigan,7,Akron,14, 
09/11/1982,Fullerton State,9,Boise State,20, 
09/11/1982,Houston,12,Miami-Florida,31,4.0
09/11/1982,Iowa State,21,Tennessee,23,3.0
09/11/1982,Idaho State,41,Drake,21, 
09/11/1982,Iowa,7,Nebraska,42,18.0
09/11/1982,Kentucky,9,Kansas State,23,2.0
09/11/1982,Long Beach State,10,U.C.L.A.,41, 
09/11/1982,Louisville,16,Cincinnati,38, 
09/11/1982,Michigan State,16,Illinois,23,8.0
09/11/1982,Maryland,31,Penn State,39,15.0
09/11/1982,Montana,0,Hawaii,40, 
09/11/1982,New Mexico State,10,Indiana State,14, 
09/11/1982,North Texas,6,Oklahoma State,27, 
09/11/1982,Northwestern,0,Indiana,30,23.0
09/11/1982,Ohio,7,Minnesota,57, 
