Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/11/1982,Kansas State,3,Wisconsin,14,1.0,Independence Bowl
12/17/1982,Brigham Young,17,Ohio State,47,6.0,Holiday Bowl
12/18/1982,Auburn,33,Boston College,26,-6.0,Tangerine Bowl
12/18/1982,Bowling Green,28,Fresno State,29, ,California Bowl
12/25/1982,Maryland,20,Washington,21,1.0,Aloha Bowl
12/25/1982,North Carolina,26,Texas,10,6.0,Sun Bowl
12/29/1982,Alabama,21,Illinois,15,-5.5,Liberty Bowl
12/30/1982,Florida State,31,West Virginia,12,-3.0,Gator Bowl
12/31/1982,Air Force,36,Vanderbilt,28,8.0,Hall of Fame Bowl
12/31/1982,Arkansas,28,Florida,24,-2.0,Bluebonnet Bowl
12/31/1982,Iowa,28,Tennessee,22,1.0,Peach Bowl
01/01/1983,Georgia,23,Penn State,27,4.0,Sugar Bowl
01/01/1983,Louisiana State,20,Nebraska,21,7.0,Orange Bowl
01/01/1983,Michigan,14,U.C.L.A.,24,3.0,Rose Bowl
01/01/1983,Oklahoma,21,Arizona State,32,1.0,Fiesta Bowl
01/01/1983,Pittsburgh,3,S-M-U,7,0.0,Cotton Bowl
