Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/19/1996,Ball State,15,Nevada-Reno,18,6.0,Las Vegas Bowl
12/25/1996,Navy,42,California,38,1.0,Aloha Bowl
12/27/1996,Houston,17,Syracuse,30,15.5,Liberty Bowl
12/27/1996,Virginia,21,Miami-Florida,31,3.5,Carquest Bowl
12/27/1996,Wisconsin,38,Utah,10,-7.0,Copper Bowl
12/28/1996,Clemson,7,Louisiana State,10,6.5,Peach Bowl
12/29/1996,Iowa,27,Texas Tech,0,4.0,Alamo Bowl
12/30/1996,Colorado,33,Washington,21,-5.0,Holiday Bowl
12/31/1996,Michigan State,0,Stanford,38,-7.0,Sun Bowl
12/31/1996,Army,29,Auburn,32,9.0,Independence Bowl
12/31/1996,Virginia Tech,21,Nebraska,41,15.5,Orange Bowl
01/01/1997,Michigan,14,Alabama,17,-1.0,Outback Bowl
01/01/1997,West Virginia,13,North Carolina,20,5.5,Gator Bowl
01/01/1997,Northwestern,28,Tennessee,48,8.0,Citrus Bowl
01/01/1997,Brigham Young,19,Kansas State,15,3.0,Cotton Bowl
01/01/1997,Ohio State,20,Arizona State,17,-2.0,Rose Bowl
01/01/1997,Texas,15,Penn State,38,-1.0,Fiesta Bowl
01/02/1997,Florida,52,Florida State,20,-3.0,Sugar Bowl
