Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/28/1999,Arizona,7,Penn State,41,4.5
08/28/1999,Kansas,13,Notre Dame,48,17.0
08/28/1999,Louisiana Tech,7,Florida State,41,34.5
08/28/1999,No Carolina State,23,Texas,20,8.5
08/29/1999,Miami-Florida,23,Ohio State,12,5.0
09/02/1999,Maryland,6,Temple,0,-5.5
09/02/1999,Syracuse,35,Toledo,12,-13.5
09/02/1999,Eastern Illinois,17,Central Michigan,33, 
09/02/1999,Idaho,48,Eastern Washington,21, 
09/02/1999,Western Illinois,27,Northern Illinois,21, 
09/02/1999,Indiana State,7,Iowa State,33, 
09/02/1999,Nevada-Las Vegas,26,North Texas,3,2.0
09/02/1999,Oregon,20,Michigan State,27,9.5
09/02/1999,N Mexico Highlands,7,New Mexico State,73, 
09/04/1999,Baylor,29,Boston College,30,4.5
09/04/1999,Georgia Tech,49,Navy,14,-19.0
09/04/1999,Nebraska,42,Iowa,7,-23.5
09/04/1999,Stanford,17,Texas,69,11.0
09/04/1999,Virginia,20,North Carolina,17,2.5
09/04/1999,Ohio,7,Minnesota,33,22.0
09/04/1999,Alabama,28,Vanderbilt,17,-16.5
09/04/1999,Utah State,7,Georgia,38,27.5
09/04/1999,Akron,24,Penn State,70,44.5
09/04/1999,James Madison,0,Virginia Tech,47, 
09/04/1999,Murray State,10,Wisconsin,49, 
09/04/1999,Louisville,56,Kentucky,28,-3.5
09/04/1999,Miami-Ohio,28,Northwestern,3,-3.5
09/04/1999,Villanova,13,Air Force,37, 
09/04/1999,West Virginia,23,East Carolina,30,-6.0
09/04/1999,Arkansas State,3,Illinois,41,13.5
09/04/1999,Boise State,7,U.C.L.A.,38,29.0
09/04/1999,Bowling Green,10,Pittsburgh,30,7.0
09/04/1999,Notre Dame,22,Michigan,26,7.5
09/04/1999,U-A-B,28,Missouri,31,23.0
09/04/1999,Utah,27,Washington State,7,1.5
09/04/1999,Oregon State,28,Nevada-Reno,13,1.0
09/04/1999,Rutgers,7,California,21,18.0
09/04/1999,Marshall,13,Clemson,10,-2.0
09/04/1999,Purdue,47,U-C-F,13,-17.0
09/04/1999,Western Michigan,26,Florida,55,36.5
09/04/1999,Appalachian State,15,Auburn,22, 
09/04/1999,Ball State,9,Indiana,21,23.0
09/04/1999,Colorado State,41,Colorado,14,13.5
09/04/1999,Florida A+M,3,Miami-Florida,57, 
09/04/1999,Kent State,3,Cincinnati,41,18.5
09/04/1999,Middle Tennessee,7,Mississippi State,40,34.5
09/04/1999,Missouri State,21,Tulsa,45, 
09/04/1999,Wyoming,17,Tennessee,42,24.0
09/04/1999,South Carolina,0,No Carolina State,10,8.5
09/04/1999,Arkansas,26,S-M-U,0,-14.5
09/04/1999,Mississippi,3,Memphis,0,-14.0
09/04/1999,Nicholls State,10,UL-Monroe,27, 
09/04/1999,Rice,3,Houston,28,2.0
09/04/1999,San Jose State,21,Louisiana State,29,25.5
09/04/1999,UL-Lafayette,7,Oklahoma State,24,34.0
09/04/1999,Texas A+M,37,Louisiana Tech,17,-14.5
09/04/1999,South Florida,12,San Diego State,41, 
09/04/1999,New Mexico,10,UTEP,13,4.5
09/04/1999,Portland State,6,Fresno State,34, 
09/04/1999,Southern Cal,62,Hawaii,7,-27.0
09/05/1999,Arizona,35,Texas Christian,31,-13.5
09/06/1999,Tulane,14,Southern Miss,48,10.0
09/06/1999,Texas Tech,13,Arizona State,31,6.5
09/09/1999,Washington,28,Brigham Young,35,4.0
09/11/1999,Miami-Ohio,27,West Virginia,43,5.0
09/11/1999,Texas Christian,7,Northwestern,17,-8.0
09/11/1999,Wake Forest,34,Army,15,-2.5
09/11/1999,Ball State,10,Wisconsin,50,36.5
09/11/1999,Pittsburgh,17,Penn State,20,35.0
09/11/1999,Rice,3,Michigan,37,25.0
09/11/1999,Tulsa,9,Oklahoma State,48,9.5
09/11/1999,Houston,10,Alabama,37,14.0
09/11/1999,Eastern Michigan,7,Michigan State,51,32.0
09/11/1999,Tennessee Tech,15,Bowling Green,40, 
09/11/1999,U-A-B,10,Virginia Tech,31,25.0
09/11/1999,North Carolina,42,Indiana,30,0.0
09/11/1999,Connecticut,14,Kentucky,45, 
09/11/1999,Nevada-Reno,33,Colorado State,38,17.0
09/11/1999,Duke,9,East Carolina,27,4.5
09/11/1999,California,0,Nebraska,45,30.0
09/11/1999,Notre Dame,23,Purdue,28,5.0
09/11/1999,San Diego State,10,Illinois,38,-4.0
09/11/1999,San Jose State,35,Colorado,63,23.0
09/11/1999,Virginia,14,Clemson,33,-5.5
09/11/1999,Northern Illinois,31,Vanderbilt,34,17.0
09/11/1999,UTEP,28,Oregon,47,20.5
09/11/1999,Weber State,16,Wyoming,41, 
09/11/1999,South Carolina,9,Georgia,24,14.5
09/11/1999,U-C-F,27,Florida,58,36.0
09/11/1999,Navy,48,Kent State,28,-17.5
09/11/1999,S-M-U,19,Tulane,53,3.0
09/11/1999,Western Carolina,10,Maryland,51, 
09/11/1999,Youngstown State,28,Western Michigan,46, 
09/11/1999,Fresno State,23,Oregon State,46,3.0
09/11/1999,Akron,17,Buffalo,10,-19.0
09/11/1999,Arkansas State,14,Mississippi,38,32.0
09/11/1999,Chattanooga,30,Louisville,58, 
09/11/1999,Idaho,23,Auburn,30,10.5
09/11/1999,Iowa,10,Iowa State,17,4.0
09/11/1999,Liberty,3,Marshall,63, 
09/11/1999,Northern Iowa,36,Ohio,21, 
09/11/1999,Northwestern St(LA),6,Southern Miss,40, 
09/11/1999,Sam Houston State,17,Louisiana Tech,55, 
09/11/1999,Troy,31,Cincinnati,24, 
