Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/17/1993,Ball State,33,Utah State,42, ,Las Vegas Bowl
12/24/1993,Texas Tech,10,Oklahoma,41,7.5,Sun Bowl
12/25/1993,Fresno State,30,Colorado,41,8.0,Aloha Bowl
12/28/1993,Louisville,18,Michigan State,7,-2.5,Liberty Bowl
12/29/1993,Wyoming,17,Kansas State,52,3.0,Copper Bowl
12/30/1993,Brigham Young,21,Ohio State,28,14.0,Holiday Bowl
12/30/1993,Southern Cal,28,Utah,21,-17.0,Freedom Bowl
12/31/1993,Alabama,24,North Carolina,10,2.5,Gator Bowl
12/31/1993,Clemson,14,Kentucky,13,-2.5,Peach Bowl
12/31/1993,Iowa,3,California,37,9.0,Alamo Bowl
12/31/1993,Virginia Tech,45,Indiana,20,-3.0,Independence Bowl
01/01/1994,Boston College,31,Virginia,13,-5.5,Blockbuster Bowl
01/01/1994,Florida State,18,Nebraska,16,-17.5,Orange Bowl
01/01/1994,Miami-Florida,0,Arizona,29,-5.5,Fiesta Bowl
01/01/1994,Michigan,42,No Carolina State,7,-14.0,Hall of Fame Bowl
01/01/1994,Notre Dame,24,Texas A+M,21,-6.0,Cotton Bowl
01/01/1994,Penn State,31,Tennessee,13,9.0,Citrus Bowl
01/01/1994,U.C.L.A.,16,Wisconsin,21,-7.0,Rose Bowl
01/01/1994,West Virginia,7,Florida,41,6.5,Sugar Bowl
