Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/28/1994,Nebraska,31,West Virginia,0,-16.5
08/29/1994,Fresno State,10,Ohio State,34,13.5
09/01/1994,Arizona,19,Georgia Tech,14,-7.0
09/01/1994,Bowling Green,15,No Carolina State,20, 
09/01/1994,Kansas,35,Houston,13,-13.5
09/01/1994,Oklahoma State,31,Northern Illinois,14, 
09/01/1994,Washington State,10,Illinois,9,9.0
09/03/1994,Arkansas State,7,Virginia Tech,34, 
09/03/1994,Auburn,22,Mississippi,17,-6.0
09/03/1994,Ball State,14,West Virginia,16, 
09/03/1994,Boston College,26,Michigan,34,14.0
09/03/1994,Brigham Young,13,Hawaii,12,-10.5
09/03/1994,Chattanooga,13,Alabama,42, 
09/03/1994,Cincinnati,3,Indiana,28,9.5
09/03/1994,Central Michigan,21,Iowa,52, 
09/03/1994,Colorado State,34,Air Force,21,-5.0
09/03/1994,Eastern Michigan,3,Nevada-Las Vegas,17, 
09/03/1994,Furman,6,Clemson,27, 
09/03/1994,Georgia,24,South Carolina,21,-3.5
09/03/1994,Georgia Southern,0,Miami-Florida,56, 
09/03/1994,Indiana State,17,Toledo,20, 
09/03/1994,Kent State,6,Rutgers,28, 
09/03/1994,Louisville,14,Kentucky,20,4.0
09/03/1994,Louisiana Tech,3,Baylor,44, 
09/03/1994,Maryland,16,Duke,49,-2.0
09/03/1994,Mississippi State,17,Memphis,6,-5.0
09/03/1994,Navy,14,San Diego State,56,13.0
09/03/1994,Notre Dame,42,Northwestern,15,-24.0
09/03/1994,UL-Monroe,13,Colorado,48, 
09/03/1994,New Mexico,31,Texas Tech,37,3.5
09/03/1994,New Mexico State,21,Florida,70, 
09/03/1994,Northern Arizona,27,Nevada-Reno,30, 
09/03/1994,Northern Iowa,28,Iowa State,14, 
09/03/1994,Oklahoma,30,Syracuse,29,-6.5
09/03/1994,Oregon State,16,Arizona State,22,13.0
09/03/1994,Penn State,56,Minnesota,3,-14.0
09/03/1994,Portland State,16,Oregon,58, 
09/03/1994,San Jose State,13,Fresno State,45, 
