Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/20/2007,Navy,32,Utah,35,9.0,Poinsettia Bowl
12/21/2007,Florida Atlantic,44,Memphis,27,-3.5,New Orleans Bowl
12/22/2007,Southern Miss,21,Cincinnati,31,11.0,Papajohns.com Bowl
12/22/2007,Nevada-Reno,0,New Mexico,23,2.5,New Mexico Bowl
12/22/2007,U.C.L.A.,16,Brigham Young,17,6.5,Las Vegas Bowl
12/23/2007,East Carolina,41,Boise State,38,11.5,Hawaii Bowl
12/26/2007,Central Michigan,48,Purdue,51,8.5,Motor City Bowl
12/27/2007,Texas,52,Arizona State,34,-2.0,Holiday Bowl
12/28/2007,Michigan State,21,Boston College,24,5.0,Champs Sports Bowl
12/28/2007,Texas Christian,20,Houston,13,-6.5,Texas Bowl
12/28/2007,Maryland,14,Oregon State,21,5.0,Emerald Bowl
12/29/2007,Connecticut,10,Wake Forest,24,2.5,Meineke Car Care Bowl
12/29/2007,U-C-F,3,Mississippi State,10,-3.0,Liberty Bowl
12/29/2007,Penn State,24,Texas A+M,17,-5.5,Alamo Bowl
12/30/2007,Colorado,24,Alabama,30,4.5,Independence Bowl
12/31/2007,Air Force,36,California,42,4.0,Armed Forces Bowl
12/31/2007,Oregon,56,South Florida,21,6.0,Sun Bowl
12/31/2007,Fresno State,40,Georgia Tech,28,5.0,Humanitarian Bowl
12/31/2007,Florida State,28,Kentucky,35,7.0,Music City Bowl
12/31/2007,Indiana,33,Oklahoma State,49,6.5,Insight Bowl
12/31/2007,Auburn,23,Clemson,20,2.0,Chick-fil-A Bowl
01/01/2008,Wisconsin,17,Tennessee,21,2.5,Outback Bowl
01/01/2008,Arkansas,7,Missouri,38,4.0,Cotton Bowl
01/01/2008,Michigan,41,Florida,35,10.5,Capital One Bowl
01/01/2008,Texas Tech,31,Virginia,28,-6.5,Gator Bowl
01/01/2008,Illinois,17,Southern Cal,49,13.5,Rose Bowl
01/01/2008,Hawaii,10,Georgia,41,8.5,Sugar Bowl
01/02/2008,West Virginia,48,Oklahoma,28,8.5,Fiesta Bowl
01/03/2008,Kansas,24,Virginia Tech,21,3.5,Orange Bowl
01/05/2008,Ball State,30,Rutgers,52,11.0,International Bowl
01/06/2008,Bowling Green,7,Tulsa,63,5.5,GMAC Bowl
01/07/2008,Ohio State,24,Louisiana State,38,3.5,BCS Championship Game
