Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/23/1997,Oklahoma,0,Northwestern,24,5.0
08/24/1997,Syracuse,34,Wisconsin,0,-8.0
08/28/1997,Tulsa,24,Cincinnati,34,8.5
08/28/1997,Kent State,7,Ohio,31, 
08/28/1997,Northern Illinois,10,Central Michigan,44, 
08/28/1997,Temple,14,Western Michigan,34, 
08/28/1997,Wyoming,10,Ohio State,24,28.0
08/28/1997,U-A-B,0,Kansas,24, 
08/30/1997,No Carolina State,32,Syracuse,31,24.0
08/30/1997,Marshall,31,West Virginia,42, 
08/30/1997,Virginia Tech,59,Rutgers,19,-21.0
08/30/1997,Arkansas State,7,Georgia,38, 
08/30/1997,Akron,14,Nebraska,59, 
08/30/1997,Louisville,24,Kentucky,38,-3.0
08/30/1997,Ball State,10,Miami-Ohio,27, 
08/30/1997,Houston,17,Alabama,42,16.5
08/30/1997,Idaho,10,Air Force,14, 
08/30/1997,Miami-Florida,45,Baylor,14,-14.0
08/30/1997,UL-Lafayette,13,Pittsburgh,45, 
08/30/1997,U.C.L.A.,34,Washington State,37,0.0
08/30/1997,Nevada-Reno,13,Colorado State,45, 
08/30/1997,Southern Miss,6,Florida,21,27.0
08/30/1997,Oklahoma State,21,Iowa State,14,3.0
08/30/1997,U-C-F,23,Mississippi,24, 
08/30/1997,Memphis,10,Mississippi State,13,10.0
08/30/1997,Texas Tech,17,Tennessee,52,21.5
08/30/1997,Nicholls State,0,UL-Monroe,28, 
08/30/1997,Bowling Green,23,Louisiana Tech,30, 
08/30/1997,North Texas,12,Vanderbilt,29, 
08/30/1997,Northern Arizona,10,New Mexico,33, 
08/30/1997,Portland State,7,Fresno State,35, 
08/30/1997,Utah State,21,Utah,14, 
08/30/1997,Minnesota,3,Hawaii,17,-13.5
08/30/1997,Northridge State,63,Boise State,23, 
08/30/1997,New Mexico State,10,Arizona State,41, 
09/04/1997,Auburn,28,Virginia,17,-2.0
09/04/1997,Arizona,9,Oregon,16,-3.0
09/05/1997,Navy,31,San Diego State,45,4.5
09/06/1997,Boston College,21,Temple,28,-12.0
09/06/1997,Indiana,6,North Carolina,23,27.0
09/06/1997,East Carolina,17,West Virginia,24,7.0
09/06/1997,Kentucky,27,Mississippi State,35,2.5
09/06/1997,Appalachian State,12,Clemson,23, 
09/06/1997,Western Michigan,10,Michigan State,42, 
09/06/1997,Marshall,35,Army,25, 
09/06/1997,Colorado State,21,Colorado,31,14.5
09/06/1997,James Madison,6,Ball State,24, 
09/06/1997,Boise State,24,Wisconsin,28, 
09/06/1997,Northern Iowa,0,Iowa,66, 
09/06/1997,Texas Christian,10,Kansas,17,10.0
09/06/1997,Georgia Tech,13,Notre Dame,17,20.0
09/06/1997,Utah,27,Louisville,21,4.0
09/06/1997,California,35,Houston,3,1.5
09/06/1997,Miami-Ohio,21,Bowling Green,28, 
09/06/1997,Northwestern,20,Wake Forest,27,-14.0
09/06/1997,Pittsburgh,17,Penn State,34,32.0
09/06/1997,San Jose State,12,Stanford,28,30.0
09/06/1997,Syracuse,34,Oklahoma,36,-10.5
09/06/1997,Tennessee,30,U.C.L.A.,24,-15.0
09/06/1997,Washington,42,Brigham Young,20,-6.0
09/06/1997,North Texas,7,Oregon State,33, 
09/06/1997,Iowa State,10,Wyoming,56,12.0
09/06/1997,Nevada-Las Vegas,14,Nevada-Reno,31, 
09/06/1997,Portland State,0,Idaho,46, 
09/06/1997,Sam Houston State,6,Texas A+M,59, 
09/06/1997,Central Michigan,6,Florida,82, 
09/06/1997,Ohio,21,Maryland,14, 
09/06/1997,U-C-F,31,South Carolina,33, 
09/06/1997,Kent State,23,Youngstown State,44, 
09/06/1997,No Carolina State,45,Duke,14,-8.0
09/06/1997,UL-Monroe,16,Arkansas,28,22.5
09/06/1997,Purdue,22,Toledo,36, 
09/06/1997,Rutgers,14,Texas,48,38.0
09/06/1997,Southern Miss,24,Illinois,7,-3.5
09/06/1997,S-M-U,15,Mississippi,23,4.5
09/06/1997,U-A-B,7,Memphis,28, 
09/06/1997,Eastern Michigan,24,Missouri,44, 
09/06/1997,Kansas State,47,Northern Illinois,7, 
09/06/1997,Air Force,41,Rice,12,4.5
09/06/1997,Cincinnati,17,Tulane,31,-9.0
09/06/1997,Florida State,14,Southern Cal,7,-14.0
09/06/1997,UTEP,3,Louisiana State,55,35.5
09/06/1997,New Mexico State,24,New Mexico,61, 
09/06/1997,Oklahoma State,31,UL-Lafayette,7, 
09/06/1997,Baylor,37,Fresno State,35,0.0
09/06/1997,Idaho State,7,Utah State,41, 
09/06/1997,Northridge State,21,Hawaii,34, 
09/11/1997,Alabama,20,Vanderbilt,0,-14.0
09/13/1997,Clemson,19,No Carolina State,17,1.0
09/13/1997,Colorado,3,Michigan,27,1.0
09/13/1997,Maryland,7,Florida State,50,31.0
09/13/1997,West Virginia,24,Boston College,31,-6.0
09/13/1997,Duke,20,Northwestern,24,17.0
09/13/1997,Mississippi,9,Auburn,19,19.0
09/13/1997,Missouri,7,Kansas,15,3.0
09/13/1997,Boise State,26,Central Michigan,44, 
09/13/1997,Lafayette,14,Army,41, 
09/13/1997,Memphis,21,Michigan State,51,19.0
09/13/1997,Temple,10,Penn State,52,37.0
09/13/1997,South Carolina,15,Georgia,31,6.5
09/13/1997,Bowling Green,13,Ohio State,44, 
09/13/1997,Akron,20,Miami-Ohio,49, 
09/13/1997,Ball State,6,Indiana,33, 
09/13/1997,Tulsa,16,Iowa,54,22.0
09/13/1997,Nevada-Las Vegas,24,Air Force,25,21.0
09/13/1997,U-C-F,24,Nebraska,38, 
09/13/1997,Illinois,14,Louisville,26,6.5
09/13/1997,Idaho,43,Idaho State,0, 
09/13/1997,Arizona State,23,Miami-Florida,12,10.0
09/13/1997,Marshall,42,Kent State,17, 
09/13/1997,Notre Dame,17,Purdue,28,-18.0
09/13/1997,Richmond,7,Virginia,26, 
09/13/1997,San Diego State,3,Washington,36,21.0
09/13/1997,U.C.L.A.,66,Texas,3,10.0
09/13/1997,Oregon,24,Nevada-Reno,20, 
09/13/1997,Wake Forest,24,East Carolina,25,13.0
09/13/1997,Western Michigan,21,Northern Illinois,13, 
09/13/1997,Stanford,17,North Carolina,28,13.0
09/13/1997,Syracuse,3,Virginia Tech,31,2.5
09/13/1997,Washington State,28,Southern Cal,21,6.0
09/13/1997,Wisconsin,56,San Jose State,10,-17.0
09/13/1997,Central Arkansas,35,Arkansas State,36, 
09/13/1997,Eastern Michigan,35,Toledo,38, 
09/13/1997,Fresno State,0,Oklahoma State,35,6.5
09/13/1997,Iowa State,29,Minnesota,53,6.0
09/13/1997,UL-Monroe,16,Louisiana Tech,17,9.5
09/13/1997,Rutgers,7,Navy,36,19.0
09/13/1997,Ohio,20,Kansas State,23, 
09/13/1997,UL-Lafayette,14,Texas Tech,59, 
09/13/1997,Indiana State,6,North Texas,41, 
09/13/1997,Arkansas,9,S-M-U,31,-6.5
09/13/1997,Pittsburgh,35,Houston,24,1.5
09/13/1997,Rice,30,Tulane,24,-3.5
09/13/1997,Northridge State,18,New Mexico State,28, 
09/13/1997,New Mexico,38,UTEP,20,-16.5
09/13/1997,Louisiana State,24,Mississippi State,9,-12.5
09/13/1997,Colorado State,35,Utah State,24, 
09/13/1997,Utah,32,Texas Christian,18,-4.0
09/13/1997,U-A-B,10,Arizona,24, 
09/13/1997,Wyoming,35,Hawaii,6,-12.0
09/18/1997,Miami-Florida,17,Pittsburgh,21,-16.0
09/20/1997,Boston College,35,Rutgers,21,-14.5
09/20/1997,Georgia Tech,28,Wake Forest,26,-7.0
09/20/1997,North Carolina,40,Maryland,14,-22.0
09/20/1997,Penn State,57,Louisville,21,-20.5
09/20/1997,Ball State,14,Purdue,28, 
09/20/1997,Baylor,3,Michigan,38,25.5
09/20/1997,San Diego State,10,Wisconsin,36,8.5
09/20/1997,Washington State,35,Illinois,22,-9.5
09/20/1997,UL-Monroe,3,Georgia,42,28.5
09/20/1997,Kentucky,49,Indiana,7,2.5
09/20/1997,Rice,40,Northwestern,34,6.5
09/20/1997,Arkansas,17,Alabama,16,18.5
09/20/1997,Michigan State,23,Notre Dame,7,3.0
09/20/1997,South Carolina,26,East Carolina,0,3.0
09/20/1997,Arizona,20,Ohio State,28,17.5
09/20/1997,Florida State,35,Clemson,28,-20.0
09/20/1997,Iowa,63,Iowa State,20,-25.0
09/20/1997,Nebraska,27,Washington,14,2.5
09/20/1997,Tennessee,20,Florida,33,3.0
09/20/1997,Fresno State,40,Oregon,43,16.5
09/20/1997,San Jose State,10,Wyoming,30,28.0
09/20/1997,Stanford,27,Oregon State,24,-11.5
09/20/1997,Missouri,42,Tulsa,21,-4.5
09/20/1997,UL-Lafayette,0,Texas A+M,66, 
09/20/1997,Kent State,41,Eastern Michigan,38, 
09/20/1997,Nevada-Reno,19,Southern Miss,35, 
09/20/1997,Tulane,19,Syracuse,30,20.5
09/20/1997,Virginia Tech,23,Temple,13,-22.0
09/20/1997,Oklahoma,36,California,40,4.5
09/20/1997,Toledo,23,Western Michigan,13, 
09/20/1997,Army,17,Duke,20,-6.5
09/20/1997,Bowling Green,31,Akron,28, 
09/20/1997,Buffalo,0,Ohio,50, 
09/20/1997,Central Michigan,28,Louisiana Tech,56, 
09/20/1997,Idaho,10,U-C-F,41, 
09/20/1997,Jacksonville St,16,U-A-B,34, 
09/20/1997,Kansas,7,Cincinnati,34,4.0
09/20/1997,Minnesota,20,Memphis,17,1.0
09/20/1997,Northern Illinois,14,No Carolina State,41, 
09/20/1997,Southern Utah,34,Arkansas State,24, 
09/20/1997,Western Illinois,7,Marshall,48, 
09/20/1997,Auburn,31,Louisiana State,28,6.0
09/20/1997,North Texas,30,Texas Tech,27, 
09/20/1997,Navy,46,S-M-U,16,1.0
09/20/1997,Texas Christian,16,Vanderbilt,40,7.0
09/20/1997,Air Force,24,Colorado State,0,13.5
09/20/1997,UTEP,3,Utah,56,25.5
09/20/1997,Weber State,7,Boise State,24, 
09/20/1997,New Mexico,25,Utah State,22, 
09/20/1997,Brigham Young,13,Arizona State,10,7.5
09/20/1997,Hawaii,15,Nevada-Las Vegas,25,4.0
09/25/1997,No Carolina State,18,Wake Forest,19,-4.5
09/27/1997,Navy,17,Duke,26,-9.5
09/27/1997,Ohio State,31,Missouri,10,-15.5
09/27/1997,Virginia,20,North Carolina,48,15.5
09/27/1997,Northwestern,9,Purdue,21,3.0
09/27/1997,Illinois,10,Iowa,38,28.0
09/27/1997,Arkansas State,0,Virginia Tech,50, 
09/27/1997,Eastern Michigan,31,Central Michigan,24, 
09/27/1997,Miami-Ohio,38,Army,14, 
09/27/1997,Western Michigan,7,Ohio,31, 
09/27/1997,Florida,55,Kentucky,28,-19.5
09/27/1997,Wyoming,19,Colorado,20,13.0
09/27/1997,Marshall,42,Ball State,16, 
09/27/1997,Indiana,26,Wisconsin,27,13.0
09/27/1997,Bowling Green,0,Kansas State,58, 
09/27/1997,Brigham Young,19,S-M-U,16,-12.5
09/27/1997,Arizona,27,U.C.L.A.,40,8.5
09/27/1997,Notre Dame,14,Michigan,21,14.0
09/27/1997,Texas A+M,36,North Texas,10, 
09/27/1997,West Virginia,28,Miami-Florida,17,9.0
09/27/1997,Arizona State,13,Oregon State,10,-10.5
09/27/1997,Boise State,0,Washington State,58, 
09/27/1997,Southern Miss,13,Alabama,27,7.0
09/27/1997,Cincinnati,24,Boston College,6,1.5
09/27/1997,Maryland,24,Temple,21,-1.0
09/27/1997,U-C-F,14,Auburn,41, 
09/27/1997,Houston,45,Minnesota,43,6.0
09/27/1997,Louisville,14,Oklahoma,35,9.0
09/27/1997,Louisiana Tech,13,Arkansas,17, 
09/27/1997,UL-Monroe,7,Oklahoma State,38,21.5
09/27/1997,Nevada-Reno,13,Toledo,31, 
09/27/1997,Southern Cal,27,California,17,-3.0
09/27/1997,South Carolina,17,Mississippi State,37,-2.5
09/27/1997,Vanderbilt,3,Mississippi,15,2.0
09/27/1997,Clemson,20,Georgia Tech,23,1.0
09/27/1997,Akron,0,Louisiana State,56, 
09/27/1997,Texas,38,Rice,31,-14.0
09/27/1997,U-A-B,42,UL-Lafayette,7, 
09/27/1997,New Mexico State,16,UTEP,24, 
09/27/1997,San Diego State,18,Air Force,24,7.5
09/27/1997,Illinois State,6,Nevada-Las Vegas,41, 
09/27/1997,Oregon,49,Stanford,58,8.5
10/02/1997,Utah,13,Fresno State,27,-9.0
10/03/1997,Utah State,35,Brigham Young,42, 
10/04/1997,East Carolina,0,Syracuse,56,13.5
10/04/1997,Iowa,7,Ohio State,23,4.0
10/04/1997,Miami-Florida,0,Florida State,47,19.5
10/04/1997,Pittsburgh,13,Temple,17,-6.5
10/04/1997,Rutgers,0,West Virginia,48,27.0
10/04/1997,Wake Forest,13,Virginia,21,9.0
10/04/1997,Auburn,23,South Carolina,6,-7.5
10/04/1997,Arkansas,7,Florida,56,34.0
10/04/1997,Miami-Ohio,24,Virginia Tech,17, 
10/04/1997,Minnesota,10,Michigan State,31,25.0
10/04/1997,Mississippi,17,Tennessee,31,25.0
10/04/1997,UTEP,7,Clemson,39,35.0
10/04/1997,Mississippi State,0,Georgia,47,11.0
10/04/1997,Northern Illinois,10,Bowling Green,35, 
10/04/1997,Kansas State,26,Nebraska,56,20.0
10/04/1997,Texas A+M,16,Colorado,10,3.0
10/04/1997,U-C-F,59,Kent State,43, 
10/04/1997,Iowa State,21,Missouri,45,17.5
10/04/1997,Louisiana State,7,Vanderbilt,6,-15.5
10/04/1997,Michigan,37,Indiana,0,-20.0
10/04/1997,Oklahoma,17,Kansas,20,-3.5
10/04/1997,Penn State,41,Illinois,6,-25.5
10/04/1997,Rice,42,Tulsa,24,-11.0
10/04/1997,Texas,16,Oklahoma State,42,-8.5
10/04/1997,The Citadel,3,Air Force,17, 
10/04/1997,Georgia Tech,42,Boston College,14,-7.0
10/04/1997,Hawaii,0,Colorado State,63,24.0
10/04/1997,Houston,10,U.C.L.A.,66,23.5
10/04/1997,Notre Dame,15,Stanford,33,0.0
10/04/1997,San Jose State,12,Oregon State,26,18.0
10/04/1997,Washington State,24,Oregon,13,-7.5
10/04/1997,Montana,13,Wyoming,28, 
10/04/1997,Duke,10,Maryland,16,3.5
10/04/1997,Louisville,24,Southern Miss,42,15.0
10/04/1997,North Texas,17,Idaho,30, 
10/04/1997,Ohio,47,Eastern Michigan,7, 
10/04/1997,Arizona State,14,Washington,26,15.0
10/04/1997,Ball State,13,Western Michigan,21, 
10/04/1997,Alabama,34,Kentucky,40,-6.5
10/04/1997,Central Michigan,14,Akron,53, 
10/04/1997,Memphis,17,Cincinnati,20,12.5
10/04/1997,UL-Lafayette,41,Arkansas State,38, 
10/04/1997,Texas Tech,35,Baylor,14,-4.0
10/04/1997,Wisconsin,26,Northwestern,25,-3.5
10/04/1997,Western Kentucky,16,U-A-B,20, 
10/04/1997,Army,0,Tulane,41,6.5
10/04/1997,California,34,Louisiana Tech,41, 
10/04/1997,Northwestern St(LA),7,UL-Monroe,17, 
10/04/1997,North Carolina,31,Texas Christian,10,-26.0
10/04/1997,S-M-U,15,New Mexico,22,7.0
10/04/1997,Cal-San Luis Obispo,38,New Mexico State,35, 
10/04/1997,Nevada-Las Vegas,21,Southern Cal,35,25.5
10/04/1997,San Diego State,28,Arizona,31,10.0
10/09/1997,Syracuse,50,Rutgers,3,-28.0
10/11/1997,Air Force,10,Navy,7,0.0
10/11/1997,Boston College,7,Virginia Tech,17,19.0
10/11/1997,Florida State,51,Duke,27,-32.0
10/11/1997,No Carolina State,17,Georgia Tech,27,5.0
10/11/1997,Northwestern,6,Michigan,23,24.0
10/11/1997,Kentucky,24,South Carolina,38,1.5
10/11/1997,Georgia,13,Tennessee,38,9.0
10/11/1997,Ohio State,27,Penn State,31,7.0
10/11/1997,Toledo,41,Central Michigan,10, 
10/11/1997,Virginia,21,Clemson,7,6.0
10/11/1997,Western Michigan,34,Bowling Green,21, 
10/11/1997,West Virginia,31,Maryland,14,-9.5
10/11/1997,Wake Forest,12,North Carolina,30,22.0
10/11/1997,Iowa State,17,Texas A+M,56,30.5
10/11/1997,Louisiana Tech,13,Auburn,49, 
10/11/1997,Michigan State,38,Indiana,6,-19.0
10/11/1997,Illinois,7,Wisconsin,31,14.0
10/11/1997,Missouri,11,Kansas State,41,11.0
10/11/1997,UTEP,33,Tulsa,18,14.0
10/11/1997,Brigham Young,14,Rice,27,-2.5
10/11/1997,Colorado,29,Oklahoma State,33,-1.5
10/11/1997,S-M-U,20,Utah,19,7.0
10/11/1997,Tulane,64,Louisville,33,0.0
10/11/1997,Notre Dame,45,Pittsburgh,21,-10.5
10/11/1997,Oklahoma,24,Texas,27,6.0
10/11/1997,Southern Miss,23,East Carolina,13,-9.0
10/11/1997,Washington,30,California,3,-15.5
10/11/1997,Samford,7,U-C-F,52, 
10/11/1997,U.C.L.A.,39,Oregon,31,-11.0
10/11/1997,Utah State,16,Oregon State,24, 
10/11/1997,Texas Christian,19,Nevada-Las Vegas,21,8.0
10/11/1997,Vanderbilt,17,Northern Illinois,7, 
10/11/1997,Wyoming,34,Nevada-Reno,30, 
10/11/1997,Ball State,32,Eastern Michigan,38, 
10/11/1997,Colorado State,55,San Jose State,20,-22.0
