Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/18/1999,Utah,17,Fresno State,16,-7.0,Las Vegas Bowl
12/22/1999,Texas Christian,28,East Carolina,14,5.0,Mobile Alabama Bowl
12/25/1999,Wake Forest,23,Arizona State,3,3.5,Aloha Bowl
12/25/1999,Oregon State,17,Hawaii,23,-8.5,Oahu Bowl
12/27/1999,Brigham Young,3,Marshall,21,2.5,Motor City Bowl
12/28/1999,Texas A+M,0,Penn State,24,6.0,Alamo Bowl
12/29/1999,Syracuse,20,Kentucky,13,2.5,Music City Bowl
12/29/1999,Kansas State,24,Washington,20,-11.0,Holiday Bowl
12/30/1999,Louisville,31,Boise State,34,-4.0,Humanitarian Bowl
12/30/1999,Illinois,63,Virginia,21,2.5,Micron PC Bowl
12/30/1999,Mississippi State,17,Clemson,7,2.5,Peach Bowl
12/31/1999,Colorado,62,Boston College,28,-8.0,Insight Bowl
12/31/1999,Minnesota,20,Oregon,24,-2.0,Sun Bowl
12/31/1999,Colorado State,17,Southern Miss,23,6.5,Liberty Bowl
12/31/1999,Mississippi,27,Oklahoma,25,3.5,Independence Bowl
01/01/2000,Arkansas,27,Texas,6,7.0,Cotton Bowl
01/01/2000,Georgia,28,Purdue,25,5.0,Outback Bowl
01/01/2000,Georgia Tech,13,Miami-Florida,28,5.0,Gator Bowl
01/01/2000,Michigan State,37,Florida,34,1.0,Citrus Bowl
01/01/2000,Wisconsin,17,Stanford,9,-11.0,Rose Bowl
01/01/2000,Michigan,35,Alabama,34,2.0,Orange Bowl
01/02/2000,Tennessee,21,Nebraska,31,4.0,Fiesta Bowl
01/04/2000,Virginia Tech,29,Florida State,46,6.5,Sugar Bowl
