Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/29/1983,Nebraska,44,Penn State,6,-5.5
09/01/1983,Houston,45,Rice,14,-14.0
09/02/1983,Syracuse,6,Temple,17,3.0
09/03/1983,Air Force,34,Colorado State,13,-6.0
09/03/1983,Appalachian State,27,Wake Forest,25, 
09/03/1983,California,19,Texas A+M,17,6.0
09/03/1983,Central Michigan,14,Kentucky,31, 
09/03/1983,Drake,10,Northern Iowa,34, 
09/03/1983,Duke,30,Virginia,38,-7.0
09/03/1983,East Carolina,46,Florida State,47, 
09/03/1983,Eastern Illinois,38,Illinois State,7, 
09/03/1983,Fullerton State,13,Boise State,10, 
09/03/1983,Kent State,6,Akron,13, 
09/03/1983,Long Beach State,28,Kansas State,20, 
09/03/1983,Louisville,6,S-M-U,24, 
09/03/1983,Marshall,3,Eastern Michigan,7, 
09/03/1983,Miami-Florida,3,Florida,28,3.5
09/03/1983,Mississippi,17,Memphis,37, 
09/03/1983,Montana State,7,Washington State,27, 
09/03/1983,Morgan State,12,Boston College,45, 
09/03/1983,Missouri Southern,29,Wichita State,21, 
09/03/1983,North Carolina,24,South Carolina,8,-14.0
09/03/1983,UL-Monroe,9,Indiana State,10, 
09/03/1983,Nevada-Reno,18,Nevada-Las Vegas,28, 
09/03/1983,Northern Illinois,37,Kansas,34, 
09/03/1983,New Mexico State,9,UTEP,20, 
09/03/1983,Ohio,3,West Virginia,55, 
09/03/1983,Oregon State,6,Arizona,50,24.0
09/03/1983,Pacific,21,Oregon,15, 
09/03/1983,Pittsburgh,13,Tennessee,3,-4.0
09/03/1983,Rhode Island,26,Ball State,42, 
09/03/1983,Richmond,3,Southern Miss,32, 
09/03/1983,South Dakota,13,Wyoming,34, 
09/03/1983,San Diego State,9,Tulsa,34, 
09/03/1983,Southern Illinois,38,Western Illinois,6, 
09/03/1983,Tulane,9,Mississippi State,14,8.0
09/03/1983,U.C.L.A.,8,Georgia,19,2.0
09/03/1983,Utah,7,New Mexico,17, 
09/03/1983,Western Carolina,10,Clemson,44, 
09/03/1983,West Texas A+M,3,North Texas,32, 
09/10/1983,Abilene Christian,28,West Texas A+M,3, 
09/10/1983,Akron,13,Eastern Michigan,0, 
09/10/1983,Bowling Green,35,Fresno State,27, 
09/10/1983,Brigham Young,36,Baylor,40,-1.0
09/10/1983,California,14,San Diego State,28, 
09/10/1983,Cincinnati,14,Penn State,3, 
09/10/1983,Clemson,16,Boston College,31,-5.5
09/10/1983,Colgate,15,Army,13,1.0
09/10/1983,Colorado,17,Michigan State,23,10.0
09/10/1983,Connecticut,5,Rutgers,22, 
09/10/1983,Colorado State,0,Hawaii,34, 
09/10/1983,Duke,10,Indiana,15,-1.0
09/10/1983,Eastern Illinois,14,Southern Illinois,17, 
09/10/1983,Florida,19,Southern Cal,19,7.0
09/10/1983,Florida State,40,Louisiana State,35,5.0
09/10/1983,Fullerton State,25,Long Beach State,19, 
09/10/1983,Georgia Tech,7,Alabama,20,18.5
09/10/1983,Idaho State,12,UTEP,10, 
09/10/1983,Illinois,18,Missouri,28,2.5
09/10/1983,Illinois State,27,Marshall,3, 
09/10/1983,Iowa,51,Iowa State,10,-6.5
09/10/1983,Kansas,16,Texas Christian,16,2.5
09/10/1983,Kent State,10,Syracuse,22, 
09/10/1983,Kansas State,12,Kentucky,31,1.0
09/10/1983,Louisiana Tech,7,New Mexico State,15, 
09/10/1983,Massachusetts,13,Toledo,45, 
09/10/1983,Maryland,21,Vanderbilt,14,-4.5
09/10/1983,Memphis,10,North Carolina,24,23.0
09/10/1983,Miami-Florida,29,Houston,7,4.5
09/10/1983,Miami-Ohio,3,South Carolina,24, 
09/10/1983,Minnesota,21,Rice,17,-3.0
09/10/1983,Mississippi,23,Tulane,27,3.0
09/10/1983,Navy,16,Virginia,27,2.0
09/10/1983,No Carolina State,16,East Carolina,22, 
09/10/1983,Notre Dame,52,Purdue,6,-9.0
09/10/1983,Northern Illinois,9,Wisconsin,37, 
09/10/1983,New Mexico,6,Tennessee,31, 
09/10/1983,Northern Iowa,0,Indiana State,26, 
09/10/1983,Northern Michigan,15,Central Michigan,37, 
09/10/1983,North Texas,13,Oklahoma State,20, 
09/10/1983,Ohio,17,Richmond,10, 
09/10/1983,Oklahoma,27,Stanford,14,-12.0
09/10/1983,Oregon,6,Ohio State,31,23.5
09/10/1983,Oregon State,51,Portland State,14, 
09/10/1983,Pacific,7,West Virginia,48, 
09/10/1983,South Dakota State,20,Drake,3, 
09/10/1983,Southern Miss,3,Auburn,24,8.5
09/10/1983,S-M-U,20,Grambling,13, 
09/10/1983,UL-Lafayette,6,UL-Monroe,31, 
09/10/1983,Temple,0,Pittsburgh,35,16.0
09/10/1983,Texas Tech,13,Air Force,28,1.5
09/10/1983,Tulsa,14,Arkansas,17,10.0
09/10/1983,Nevada-Las Vegas,26,San Jose State,31, 
09/10/1983,Utah,0,Arizona,38, 
09/10/1983,Utah State,12,Arizona State,39, 
09/10/1983,Washington,34,Northwestern,0,-16.0
09/10/1983,Washington State,17,Michigan,20,15.5
09/10/1983,Wake Forest,13,Virginia Tech,6,11.0
09/10/1983,Wichita State,21,Ball State,25, 
09/10/1983,Western Kentucky,22,Louisville,41, 
09/10/1983,Western Michigan,21,Texas-Arlington,14, 
09/10/1983,William + Mary,28,Virginia Military,14, 
09/10/1983,Wyoming,20,Nebraska,56, 
09/17/1983,Air Force,7,Wyoming,14, 
09/17/1983,Arkansas State,0,Texas A+M,38, 
09/17/1983,Arizona,45,Washington State,6,-7.0
09/17/1983,Army,7,Louisville,31, 
09/17/1983,Arizona State,26,U.C.L.A.,26,4.0
09/17/1983,Ball State,31,Ohio,14, 
09/17/1983,Baylor,20,UTEP,6, 
09/17/1983,Boston College,42,Rutgers,22,-7.5
09/17/1983,Bowling Green,28,Brigham Young,63, 
09/17/1983,Chattanooga,38,UL-Lafayette,14, 
09/17/1983,The Citadel,0,No Carolina State,45, 
09/17/1983,Colorado State,3,Colorado,31, 
09/17/1983,Delaware,30,William + Mary,13, 
09/17/1983,Drake,14,Western Illinois,31, 
09/17/1983,Florida State,28,Tulane,34,-11.5
09/17/1983,Fullerton State,25,Utah State,24, 
09/17/1983,Furman,17,Georgia Tech,14, 
09/17/1983,Georgia,16,Clemson,16,-1.5
09/17/1983,Iowa State,26,Vanderbilt,29,11.5
09/17/1983,Indiana,13,Kentucky,24,3.5
09/17/1983,Indiana State,13,Florida,17, 
09/17/1983,Iowa,42,Penn State,34,-2.5
09/17/1983,James Madison,14,Virginia,21, 
09/17/1983,Lamar,35,Houston,42, 
