Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/13/1980,McNeese State,14,Southern Miss,16, ,Independence Bowl
12/14/1980,Houston,35,Navy,0,-5.0,Garden State Bowl
12/19/1980,Brigham Young,46,S-M-U,45,0.0,Holiday Bowl
12/20/1980,Florida,35,Maryland,20,1.0,Tangerine Bowl
12/26/1980,Ohio State,19,Penn State,31,0.0,Fiesta Bowl
12/27/1980,Arkansas,34,Tulane,15,-3.0,Hall of Fame Bowl
12/27/1980,Missouri,25,Purdue,28,4.0,Liberty Bowl
12/27/1980,Mississippi State,17,Nebraska,31,14.0,Sun Bowl
12/29/1980,Pittsburgh,37,South Carolina,9,-10.0,Gator Bowl
12/31/1980,North Carolina,16,Texas,7,-1.0,Bluebonnet Bowl
01/01/1981,Alabama,30,Baylor,2,-3.0,Cotton Bowl
01/01/1981,Florida State,17,Oklahoma,18,6.0,Orange Bowl
01/01/1981,Georgia,17,Notre Dame,10,2.0,Sugar Bowl
01/01/1981,Michigan,23,Washington,6,-9.0,Rose Bowl
01/02/1981,Miami-Florida,20,Virginia Tech,10,-8.0,Peach Bowl
